{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1409E4,14095E,1407FF
158370,158405,158330
1408D8,1408B2,1405FE
158460,15825F,15849A
14061B,140706,1407AC
158145,1582A5,158224
140834,140925,1407D1
158083,1580F5,157F88
1407E1,1405C2,1407B3
1582F2,158216,1581E7
1406A2,140460,1406A4
15815C,158092,1581BE
14085C,14071E,14068E
15829B,15830A,1582F5
1408F4,1407B6,14072F
158243,15835D,1583BD
14089C,14076E,140786
1581FE,15831D,15818F
140983,14071C,1406E0
157F45,158057,1581F4
1406E9,140684,1404F5
158132,15803D,15811A
1407D6,140864,1406D3
1580E7,157F13,15804B
1405DF,1407D3,1406E8
15814C,158026,15830C
14074D,14086B,14051A
158066,1580AC,157F74
1407D3,140644,14064E
1581F5,158116,1582B9
140A28,140A47,1409BB
158451,158474,158381
140950,140B4E,1409CC
1582D2,158376,158215
1408F1,140871,1407DC
1581FC,15840D,1582D8
14097A,14080F,14084A
1581B4,1582B7,15838F
140697,14071A,140694
158206,1581B3,1581DC
1406F2,1407DC,140843
15825E,158375,1581CF
140776,140678,1407C6
1581F2,158115,15818A
1407EF,1406B0,140608
158359,1583FC,1581BA
1406FF,1407BC,140817
158140,1581FD,1580B3
1408F0,140705,140600
158059,15826F,158211
1408E9,1404E6,140763
158009,157ECE,158116
140646,14055B,1405C3
158275,157EFA,1581DF
140667,1405CF,14075E
158059,157E88,157EA0
140574,140698,140761
158087,157F85,158043
1405AB,14065C,1406D5
157F82,157EED,15815E
14061D,14064B,14066F
15CA96,15CC25,15CC0F
1423F4,142225,142290
159BBD,159BDE,159AEA
14213D,1421A9,14216B
159C6D,159DD1,159BF2
142377,14217C,142004
159BF7,159C4E,159B77
142126,1422A3,14222F
159C2D,159D5E,159BB2
14225B,142041,1421A2
159C33,159B55,159CDE
1422AC,14215E,1421D4
159B5C,159CBE,159ADA
14223E,14219B,142041
159BF6,159AF6,159A8F
142020,14203B,1421B3
159B95,159CC0,159C12
14212C,1420EC,142061
159A90,159B87,159C44
