{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F80D0,-F7E87,-F7E77
-E04B1,-E05EB,-E05E5
-F7F47,-F7E7E,-F80FA
-E047E,-E04B2,-E0573
-F7ED1,-F7F2B,-F8049
-E04EB,-E03E7,-E0628
-F80F9,-F80A6,-F8117
-E0805,-E0489,-E0726
-F8096,-F8078,-F7F6A
-E04D0,-E04FF,-E063D
-F7F15,-F7F4B,-F7F67
-E04B1,-E037E,-E0496
-F7EF0,-F7E81,-F8037
-E02E4,-E04EF,-E03C9
-F7FCE,-F7EA3,-F7EA8
-E05F9,-E0539,-E0417
-F7D5E,-F7F6B,-F7E8A
-E0453,-E054E,-E03CD
-F7ED0,-F7FE8,-F80A1
-E049A,-E0383,-E04C1
-F812E,-F7DC6,-F8088
-E0387,-E038E,-E0446
-F7E2F,-F7FCA,-F7F4F
-E04B2,-E0460,-E0556
-F7F14,-F7F0D,-F7F45
-E05DC,-E05C9,-E0418
-F7FE8,-F7FE3,-F8071
-E0435,-E0452,-E04A5
-F7D66,-F7E50,-F7FC9
-E15D7,-E1932,-E18CE
-F8A49,-F8B79,-F8B6A
-E10E3,-E0EF2,-E10DD
-F89EB,-F8A98,-F89FB
-E0FA5,-E0F3E,-E11A4
-F8BE1,-F8AC5,-F8CA3
-E0F61,-E10AE,-E0EBC
-F89DF,-F89AB,-F8A9F
-E0ED9,-E0EDF,-E0FC2
-F8A92,-F8C02,-F8A21
-E0FCA,-E0EED,-E0F5C
-F8962,-F8AC1,-F8C02
-E0F50,-E0EE3,-E0F67
-F8B04,-F8AFC,-F8AA0
-E10B5,-E0FC4,-E1111
-F8946,-F8AD2,-F8982
-E0CF8,-E0CA2,-E0DF0
-F8820,-F8967,-F8866
-E1060,-E0EE5,-E0E08
