{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
18FA1B,18F8CD,18F9EE
1A7450,1A7438,1A746D
18FA91,18F8F3,18FC03
1A754C,1A76E8,1A7551
18FACE,18FB63,18FB08
1A7651,1A7776,1A7673
18FAC7,18FBC7,18F9BE
1A7534,1A768D,1A761A
18FB41,18FC60,18FBF7
1A7570,1A76A1,1A7454
18FA68,18FB8D,18FB57
1A76CA,1A7638,1A75EF
18FA0D,18FAE3,18F9D6
1A7571,1A7518,1A75DD
18FB6F,18FA62,18FC7F
1A7444,1A7492,1A73EB
18F987,18F98C,18F875
1A7555,1A758B,1A76A4
18FAD0,18FD22,18F94D
1A755F,1A7641,1A73D7
18FB28,18FAC9,18FC6C
1A744E,1A73CD,1A7573
18F922,18FA32,18FA0D
1A75BE,1A73A2,1A758D
18FB5A,18FBC8,18F7FD
1A7577,1A7564,1A7501
18FB2F,18FA0C,18FB5B
1A756B,1A75A9,1A7630
18FB9A,18F80B,18F89C
1A7467,1A7446,1A73AA
18F9C9,18F934,18FAAA
1A7339,1A72C2,1A7274
18F864,18F800,18F80C
1A731E,1A7538,1A742E
18F96E,18F83B,18F924
1A74B0,1A7499,1A73A7
18F8E9,18F8E0,18F970
1A74A6,1A7381,1A7542
18F9E2,18FB7B,18F8DB
1A741E,1A7555,1A7428
18F880,18FA9C,18FA63
1A754D,1A752E,1A744B
18F9FD,18FA5B,18F9EF
1A74A4,1A7300,1A7322
18FA72,18FA34,18F64C
1A7292,1A74A0,1A74E3
18F9C9,18F9F1,18F986
1A7403,1A7465,1A7370
18F917,18F953,18FB94
1A74A0,1A73D6,1A74B1
18FAD7,18FA69,18FA09
1A7457,1A75AE,1A750F
18F875,18FA51,18FA10
1A74D4,1A74A2,1A7310
18FA9D,18FB59,18F7DA
1A7207,1A71CB,1A7506
18F9A6,18F932,18FAB8
1A744F,1A7457,1A73E7
18F892,18F906,18FA67
1A739C,1A72B1,1A7451
18F8E0,18F7F8,18F723
1A74E1,1A7078,1A726A
18F7E8,18F800,18F94F
1A7350,1A720B,1A743D
18F726,18F96B,18F6D7
1A718D,1A739E,1A7338
18F9B3,18F6EC,18F7B3
1A736A,1A73C3,1A7455
18FA6C,18FAC9,18F9AF
1A7264,1A735E,1A75D2
18F8F8,18F956,18F7D4
1A74D1,1A73AF,1A737D
18F90B,18F79A,18F943
1A7278,1A7354,1A73E4
18FB2B,18F9AF,18F74E
1A6530,1A6429,1A6332
190216,19001B,190122
1A7B00,1A7B14,1A7AD6
1900EE,190186,19027E
1A7B8C,1A7C33,1A7AFF
18FFDA,190080,190101
1A7BE0,1A7A74,1A7B53
18FFEF,1900A8,1900BE
1A7D3B,1A7D39,1A7DA2
190369,1901DC,190124
1A7C92,1A7C45,1A7B12
1901AF,190277,190101
1A7B1F,1A7B96,1A7ABA
1900AC,1900B3,190107
1A7AB2,1A7B57,1A7C3E
1900D5,190285,19010B
1A7CAA,1A7C26,1A7B59
190010,190114,1901E7
1A7A9C,1A7B54,1A7B1D
1901FA,1900E3,18FF5A
1A79B8,1A7AFA,1A7B0A
1900D0,19021D,1901DC
1A7BB3,1A7DA1,1A7ABA
18FFF5,19004A,190075
1A7CAF,1A7C65,1A7CAB
18FEAB,190057,190184
1A7A95,1A7C49,1A7C57
190051,190235,19019F
1A7D48,1A7CC9,1A79C6
18FF2E,1901FF,1901B3
1A7B76,1A7DBD,1A7AAC
190174,1901DB,1901ED
1A7B9D,1A7B17,1A7AEE
19018E,190352,19019B
1A7C33,1A7C84,1A7B86
1900DF,1900E1,1901CC
1A7B17,1A7B42,1A7B07
190089,1901C0,18FF70
1A7C07,1A7AAD,1A7C74
18FFA0,19008A,1901A2
1A7C8B,1A7D1F,1A7B3B
19020B,190006,190218
1A7B2C,1A7AD0,1A7A03
1901F3,190218,19005D
1A79D4,1A7B88,1A7BDB
1900DD,19002B,1900E9
1A7B33,1A7B20,1A7A51
18FE02,1900C3,190200
1A7AA3,1A7A57,1A7C6B
18FF68,190139,18FFE3
1A77CA,1A78BD,1A78FE
190047,18FF05,18FF85
1A7BCD,1A7A7A,1A7ADF
18FF1D,190178,18FF67
1A7B99,1A7AA2,1A7BC2
18FF7F,19011C,1900B7
