{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
126FD8,126FBF,127107
10F558,10F584,10F540
126F86,126F44,126FF4
10F483,10F2AF,10F326
126DE3,126FFE,126FA1
10F409,10F334,10F5A4
126F85,126EC7,126DB4
10F5E3,10F4BF,10F401
126C75,126E4A,126E6F
10F3D4,10F3D9,10F60B
126F4D,1270E5,12725B
10F533,10F366,10F1B8
126ECD,127094,126FFD
10F653,10F4C5,10F569
127015,12702E,126FB5
10F4D2,10F512,10F418
126FE7,126DEA,126E65
10F4DD,10F666,10F50B
12702B,126E4A,126FCE
10F3AB,10F758,10F526
126F71,126F41,12706E
10F2AD,10F580,10F48C
126E11,126E0F,126DB7
10F4BC,10F369,10F474
126EB5,127031,126F1C
10F517,10F62C,10F53C
126E1D,126FCD,126EEF
10F5DC,10F45E,10F586
126FF1,126F67,126F85
10F487,10F684,10F499
126EDA,126FDA,126E80
10F43F,10F59F,10F5C3
126FBB,12709E,126FC5
10F5B8,10F708,10F69F
126E0E,126F3D,127044
10F431,10F72A,10F4BD
126DCF,1270CF,126FC8
10F5FA,10F474,10F665
127153,126ECF,127223
10F5B5,10F748,10F72B
1270B3,1270A8,1271CC
10F562,10F4CF,10F62C
1271D1,1272EB,127175
10F687,10F4AB,10F67D
1270AD,1271AD,12727C
10F7CC,10F63D,10F6BC
126FE3,126EFE,126FE2
10F6D6,10F5A7,10F69C
12714A,127013,126FB7
10F62E,10F58F,10F46A
127211,127183,12715B
10F590,10F738,10F5E8
127166,127074,127122
10F69F,10F64C,10F734
127151,127186,1271E3
10F6EB,10F64E,10F657
12712D,1271C4,127396
10F82F,10F671,10F51C
1270A7,126F95,126FBC
10F567,10F756,10F5C5
126FCF,126FB9,126F06
10F6F5,10F7D8,10F732
127248,127187,1272F8
10F741,10F6E3,10F51E
12713E,127197,127041
10F7FE,10F6CE,10F7B0
1271E9,12705B,12700F
10F617,10F7B2,10F713
12707B,1270C5,1270C1
10F800,10F548,10F51B
12715B,1270F9,126F49
10F54D,10F7BD,10F5DB
127090,126EF5,1270C2
10F732,10F516,10F5E5
127112,1270D4,126FC8
10F4DA,10F758,10F61D
127059,127052,126FDE
10F6A4,10F6CB,10F7DC
126F4C,1270B5,126FBC
10F72A,10F802,10F794
1270CD,127210,126FD1
10F5C8,10F65C,10F626
126F66,127124,1272B5
10F6FB,10F688,10F85E
12722D,126FE4,1270B2
10F6CE,10F5CF,10F5B1
1271ED,1270D6,12701C
10F697,10F6CE,10F650
127079,127018,127037
