{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
D0F81,D0FC4,D0F9C
B9594,B93A7,B950E
D0EBE,D1020,D1175
B9471,B9535,B94E8
D0E06,D0DFD,D10E5
B9442,B953F,B953C
D1009,D0F29,D0F8F
B9673,B9843,B9748
D0F76,D0FAB,D0F97
B9560,B9614,B968D
D0ECE,D1084,D1126
B9699,B96DC,B959F
D11BE,D1164,D117C
B9421,B94F9,B9427
D12D6,D11CF,D0FED
B94B9,B9660,B959F
D1040,D0F22,D0FB6
B94FD,B9349,B9516
D1090,D0FA3,D10E5
B942B,B96BB,B962F
D1140,D117A,D1160
B9784,B9708,B965F
D1108,D1218,D10A8
B9728,B974E,B96C1
D122D,D144F,D1421
B9A27,B9714,B9710
D123B,D123D,D1276
B98B3,B983C,B96F3
D11DD,D1337,D1175
B9858,B96A4,B97F8
