{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8B72F,8B76E,8B68C
A3175,A3295,A31CA
8B7D2,8B66E,8B52C
A311D,A310E,A3151
8B39F,8B5FB,8B691
A307F,A3094,A2F3C
8B680,8B648,8B460
A30AC,A2FBE,A3034
8B68B,8B6C4,8B4E8
A30E9,A3318,A31E5
8B68A,8B663,8B627
A31AB,A3128,A3089
8B891,8B4DA,8B71F
A2F27,A30D9,A3146
8B70C,8B768,8B6C6
A2FF3,A3038,A3179
8B67C,8B729,8B5A2
A32AE,A313F,A331F
8B6E8,8B790,8B6E1
A33B9,A32E0,A33D6
8B85C,8B653,8B674
A314C,A32FF,A3229
8B75C,8B764,8B713
A3181,A30EC,A32F6
8B6F0,8B719,8B4D2
A30E9,A3236,A3273
8B924,8B86B,8B6F8
A31AA,A322A,A323E
8B667,8B72F,8B653
A3063,A30A5,A3049
8B599,8B5A9,8B66B
A30E9,A317F,A3031
8B5B4,8B7BF,8B605
A3219,A2F50,A3366
8B757,8B93C,8B6C7
A1CEE,A1E86,A2019
8B637,8B697,8B65D
A2ECA,A3098,A2EAE
8B622,8B4F4,8B49A
A302B,A3055,A2EB2
8B4E1,8B643,8B597
A3014,A3060,A30F6
8B516,8B5A5,8B555
A3072,A2FD8,A3000
8B414,8B532,8B3BF
A2DFC,A2EDF,A2E65
8B4F7,8B5FD,8B5D6
A3054,A3069,A3174
8B5DF,8B533,8B5B4
A317C,A2FE6,A2F58
8B61C,8B545,8B886
A3254,A3235,A30B6
8B688,8B829,8B667
A3058,A315B,A31E5
8B6B8,8B555,8B421
A2F1C,A31B1,A329D
8B8F3,8B70B,8B668
A2FB8,A3062,A3101
8B5C5,8B619,8B443
A312E,A3088,A31E1
8B746,8B87F,8B7A6
A324B,A313C,A2FEC
8B650,8B5A5,8B70E
A310E,A30AC,A302B
8B69E,8B7DC,8B6CD
A30C9,A3041,A313C
8B639,8B5E9,8B522
A30BC,A3041,A307C
8B66A,8B76F,8B851
A3111,A312E,A327D
8B961,8B985,8B495
A2E14,A3012,A2FA1
8B802,8B8A3,8B764
A3046,A3068,A301B
8B8A1,8B71D,8B716
A2FF0,A30D4,A3039
8B751,8B6DF,8B68F
A2FE1,A31BC,A301D
8B642,8B7BB,8B921
A33B5,A31B3,A33B6
8BA97,8B982,8B6FC
A30BC,A31A0,A30C2
8BA80,8B999,8B894
A32BA,A33A3,A3398
8B71C,8B958,8B7B5
A2F84,A30BC,A2EBB
8B6FB,8B6DF,8B797
A31DA,A326B,A32CE
8B91D,8B952,8B83F
A33F5,A3360,A338E
8B833,8B6E0,8B702
A32CB,A3396,A3231
8B97D,8B8A5,8BA31
A3306,A3416,A3120
8B8E8,8B73E,8B857
A3306,A3331,A3204
8B888,8B9B1,8B846
A347F,A3304,A31EE
8B7C9,8B7E9,8B80E
A3332,A31DD,A328C
8BA00,8B633,8B8C7
A325A,A3219,A3121
8B626,8B68C,8B85A
A332B,A3165,A32BF
8B9BC,8B7AF,8B72E
A318C,A323F,A3337
8B7B9,8B7C9,8B8A4
A316B,A3315,A329C
8B802,8B791,8B8C6
A329E,A3579,A3392
8BB8B,8B943,8B954
A343B,A33C8,A3359
8B9FC,8B812,8B998
A342F,A3401,A331C
8B7B7,8BA8D,8B7C7
A3337,A3495,A322F
8B71C,8B856,8B849
A30F6,A31B1,A31E2
8B801,8B735,8B64F
A3261,A3332,A32D6
8B912,8B988,8B994
A32C1,A3421,A3326
8B8A8,8B805,8B7E3
A3326,A3383,A336F
8B939,8B823,8BA65
A3272,A3484,A32D3
8B885,8B922,8B730
A323C,A34AC,A3463
8B882,8B885,8B83E
A33E7,A3352,A331A
8BA04,8B938,8B835
A3414,A341B,A33C8
8B9C7,8B9C1,8B7BF
A3225,A3350,A3457
8B9BE,8BAE9,8B926
A3218,A331B,A34BE
8B921,8B97C,8BB0A
A3684,A34DA,A35EA
8B93D,8BB3F,8BA8D
