{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
6CA7E,6C9F9,6CA64
55069,54F2B,54DA7
6C822,6C9C7,6CAF1
550B1,55089,5500B
6C9F5,6CBA0,6CA62
54F86,54FE2,54FF9
6C9A3,6C960,6CA45
54EC0,54FCD,55089
6CA97,6CD29,6CC16
5502E,55278,55128
6CBBE,6CAA6,6C994
551A7,551AE,54F5E
6CB43,6CAF9,6CBD1
5514E,54F4E,5501E
6CA20,6CA97,6CC06
54FE1,55093,55075
6CBE7,6CA73,6CC55
55128,551C8,55133
6CC42,6CC5A,6CD79
55344,55490,5533F
6CEE8,6CD18,6CCEC
55154,55201,5532B
6CC91,6CBD1,6CC7C
5513D,5520C,55271
6CCAD,6CA67,6CC62
551A0,551D4,550C3
6CC9F,6CDFA,6CCED
55358,5544E,551B9
6CC51,6CCB2,6CDCD
5518A,551EC,5528A
6CC2B,6CCD0,6CD56
5531A,551FD,550C4
6CD9D,6CF10,6CEC9
55211,552B3,5539B
6CBAF,6CC87,6CBF8
55274,5558C,5550F
6CD30,6CDA7,6CDC0
553A5,553DA,55469
6CE1B,6CECC,6CD92
55375,5540D,553EC
6CE3C,6CD4D,6D090
55240,551BC,553B3
6CF0B,6CDF8,6CE06
552AC,55269,550FA
6CD7E,6CC30,6CC09
55401,551BE,553B5
6CF11,6CF05,6D16D
552BF,55334,5525C
6BFD0,6BFD0,6BF70
55256,552EF,55235
6CCEA,6CBFB,6CD0B
553E3,552F4,5537B
6CCFE,6CF43,6CF22
552B4,55464,554F0
6CE4E,6CE2A,6CE80
552CD,55443,552E1
6CFEA,6CE5C,6CDA3
5540A,553C4,5545C
6CEA3,6CED4,6CF05
556D5,5567B,554E7
6CEF8,6D043,6D014
55494,5532E,55345
6CFE8,6CFCA,6CFEC
55570,5542C,55552
6D093,6D2F0,6D1D9
55784,5558E,554C6
6D05F,6CF8D,6D10B
55673,5565B,554E6
6D217,6D011,6D20E
5559A,554FC,55529
6D108,6D243,6D052
5582E,5567A,5565C
6CF45,6D051,6D1F8
557C3,55668,554D9
6D360,6D06C,6D137
55624,55724,55682
6D1B8,6D1E0,6D023
55842,557A1,55848
6D232,6D06F,6D05B
55821,556FC,55781
6D1CC,6D147,6D125
555F6,55873,55766
6D0EF,6D1A3,6D31C
55771,55943,5589F
6D1D0,6D155,6D2C5
55940,557B4,557D4
6D1F9,6D3CD,6D294
558D8,55859,559E5
6D2D9,6D0F3,6D299
5596A,559CD,55AAF
6D3CD,6D2AF,6D293
556D3,55859,559C8
6D4CD,6D3D9,6D2C6
558C7,5597C,5580A
6D153,6D2D1,6D333
55A09,55970,55A88
6D47E,6D456,6D37D
55893,55AEE,559A6
6D379,6D243,6D47D
559A9,55817,55AD0
6D37F,6D3F6,6D301
55AF4,55832,5590A
6D4C8,6D395,6D42C
5592F,55855,55B23
6D3E4,6D5E5,6D3CB
