{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
64D1,63ED,63E8
1DD52,1DE27,1E0E9
6357,627F,6400
1DF79,1DF79,1DDC1
63F4,6423,63CF
1DF0A,1DF97,1E03A
6528,6620,650B
1E025,1DF99,1DF82
6510,64EC,6583
1D6E7,1D6DF,1D58C
6991,6804,69D4
1E3E8,1E202,1E2BE
69EB,683E,698E
1E38D,1E4A1,1E25C
6794,66A7,6641
1E2D7,1E25C,1E5E7
6979,69DD,68CF
1E46C,1E41D,1E3CA
6A01,6917,672B
1E1DE,1E2C5,1E1A7
6937,6913,6735
1E197,1E3A4,1E238
695A,6944,68FA
1E366,1E2FF,1E196
66A0,6903,683E
1E4A3,1E405,1E3B2
6ADB,680B,69DE
1E29D,1E37A,1E486
69A3,684A,69F1
1E405,1E543,1E4DD
6919,6A98,68AB
1E3D1,1E3F3,1E3C3
6A90,67D4,68D8
1E3F3,1E67C,1E229
69F2,691C,699F
1E3A4,1E45A,1E4DB
6A4A,6AB5,68A1
1E528,1E439,1E4B7
6B39,6C13,6BE3
1E435,1E401,1E32B
694B,68C8,68CF
1E39D,1E1DD,1E258
6786,67B5,672C
1DF82,1E17F,1E434
67AB,680A,6627
1E245,1E2A1,1E191
6A23,686E,68AE
1E23B,1E2AF,1E1BD
66F4,6795,662E
1E200,1E2DD,1E34F
67BB,69A0,6720
1E128,1E3B0,1E277
68E6,6913,69C1
1E36C,1E162,1E32C
67E5,6832,69B9
1E266,1E1D1,1E3BB
68A2,6825,67BF
1E2C6,1E448,1E60C
673F,6701,6920
1E34F,1E42A,1E2C2
68E5,693A,66DC
1E238,1E3D4,1E296
681C,68DA,69A1
1E082,1E184,1E3AB
6935,6A44,6A6B
1E2D2,1E3C3,1E2DD
67F3,6994,69A0
1E430,1E551,1E43A
6A40,6A55,67DF
1E4AA,1E53D,1E5BB
6A47,6A9B,6A8F
1E440,1E495,1E3DD
6921,69FF,68E6
1E8B2,1E81E,1E6AE
6C56,6AE5,6B7E
1E5DA,1E5B9,1E5F3
6B65,692D,6BF6
1E586,1E69F,1E6AE
6BB0,6B29,6C5C
1E65D,1E6D1,1E609
6B8E,6B54,6AD9
1E5A9,1E7F3,1E66E
6B3A,6B42,6AE0
1E5FE,1E73A,1E36F
6C92,6C1F,6CFB
1E569,1E557,1E565
6D0F,6D0A,6CAC
1E643,1E765,1E538
69FC,6BFA,6A0F
1E696,1E71C,1E795
6B9D,69DF,6AF8
