{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2EACD,-2E962,-2E9D1
-46241,-46435,-463D2
-2E8D2,-2E90D,-2E9C0
-46357,-46456,-46321
-2E693,-2E7CA,-2E798
-46280,-46163,-46405
-2E989,-2E80C,-2E804
-462C9,-4635F,-4638C
-2E989,-2E8CB,-2E980
-46388,-46409,-46335
-2EA6C,-2E934,-2E8B8
-462FB,-4658A,-463D2
-2E7AD,-2E70C,-2E839
-4626C,-46287,-46258
-2E6FC,-2E920,-2E742
-463B0,-4642F,-46257
-2E788,-2E916,-2E8F3
-46055,-463A7,-461AB
-2E7C9,-2E857,-2E6F1
-46308,-4645A,-4624E
-2ED36,-2EB59,-2EC49
-469DB,-469F2,-46A52
-2F025,-2EFF1,-2EEB1
-46ABF,-468B6,-468D0
-2EE5F,-2EF2B,-2EEBE
-46883,-469F2,-46888
-2F039,-2F05A,-2EFD5
-46797,-468A1,-4677B
-2EF62,-2EE77,-2EF7D
-469C5,-46A89,-469CF
-2EE7A,-2EFCB,-2F003
-468DE,-46A21,-46913
-2EF19,-2ED5E,-2EEAF
-46728,-46924,-466C6
-2EE7F,-2EE80,-2EDB2
-46729,-466A7,-46844
-2EC84,-2EC69,-2EC13
-46750,-4695A,-467E4
-2ED7F,-2EE61,-2EDF9
-467A8,-46686,-46903
-2EFA3,-2ED2D,-2EF34
-4677F,-4685C,-46882
-2ED65,-2ED6F,-2EE07
-46A41,-46696,-46785
-2ECB0,-2EDDD,-2ECB9
-46670,-466BE,-46856
-2EFE2,-2F091,-2ED20
-46869,-46777,-46883
-2ED29,-2EDB4,-2ECB9
-4665C,-46749,-467EB
-2EFC8,-2EF54,-2EF01
-4686A,-46988,-467B3
-2EE44,-2ED0F,-2ED8E
-467C4,-46694,-4670A
-2ECEC,-2ED4F,-2EEDC
-46841,-46882,-46854
-2EDD8,-2EC8B,-2EE20
-46972,-4671B,-467EC
-2EE5E,-2EDE0,-2ED5F
-468A2,-46809,-468CC
-2EC80,-2EC28,-2EC6E
-465CD,-46669,-46789
-2ED95,-2EEF7,-2ED0F
-4692D,-46706,-46812
-2ECD6,-2EB70,-2EB85
-465B1,-466B9,-464FD
-2EBD7,-2ED0F,-2ECB6
-467A2,-46835,-46777
-2EDED,-2EB90,-2EAB9
-466A6,-46751,-468E3
-2ED2E,-2EE7D,-2EE5D
-467D6,-465D2,-46702
-2ED5E,-2ECEF,-2EC15
-4680C,-46855,-46782
-2EDF2,-2EC06,-2ED3A
-465DE,-467A7,-46813
