{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7348E,-73460,-736FC
-5B86B,-5BA02,-5B8DD
-733CE,-7342C,-733F7
-5BA8A,-5BB03,-5BB24
-73329,-733EE,-73455
-5BAD1,-5B90D,-5B86D
-735FE,-735C3,-73581
-5BC56,-5BB48,-5B959
-735E7,-73641,-736DC
-5BB09,-5BB0E,-5BA36
-733EB,-733DB,-73341
-5BCF9,-5BA44,-5B92D
-73584,-736DE,-733FD
-5BB08,-5B8F5,-5BBAB
-73397,-735DB,-734F9
-5BB9D,-5BB47,-5BA8F
-73583,-73434,-73347
-5BBDC,-5BBA7,-5BA41
-736A0,-7359E,-73548
-5BAE4,-5B9E5,-5B957
-7339C,-735D9,-735C7
-5BA7E,-5BBD7,-5BA57
-736B9,-73771,-73817
-5BC5C,-5BCBB,-5BC77
-7353F,-73540,-735A2
-5BBA0,-5BBCC,-5BBB3
-7363D,-734BD,-734B8
-5BB85,-5BA73,-5BA1A
-73538,-7341F,-73558
-5BA3A,-5BAEE,-5BBB0
-734D2,-734E8,-73740
-5BC99,-5BA2B,-5BC3B
-735F9,-73472,-7367A
-5BABC,-5BA6D,-5B9BC
-736D7,-7369E,-737BC
-5BC36,-5BA9D,-5BB40
-735D3,-73653,-73545
-5BBC6,-5BBD3,-5BB3F
-735DC,-734A4,-73697
-5BA86,-5B9B9,-5BB4C
-73617,-734F5,-73587
-5BB9B,-5BD4B,-5B970
-7364B,-732D2,-7374A
-5B9F1,-5B966,-5BA49
-733B0,-73442,-73599
-5BAB2,-5BBD0,-5BAE2
-735C5,-7368F,-73655
-5BBC1,-5BBEB,-5BBC8
-73735,-73617,-73732
-5BA3B,-5BAD2,-5BC99
-73636,-736A5,-735F4
-5BC94,-5BDC9,-5BB6F
-73653,-73689,-73803
-5BC08,-5BAC9,-5BB90
-734F6,-73597,-73804
-5BBEC,-5BA74,-5BD84
-73724,-73682,-7368F
-5BC20,-5BC39,-5BB6F
-73738,-736DA,-736EA
-5BD05,-5BD96,-5BC0D
-73570,-736C4,-73825
-5BC94,-5BBC2,-5BE72
-73655,-73634,-7360C
-5BBDC,-5BD8E,-5BB5A
-73825,-73726,-7389C
-5BD0B,-5B8AE,-5BAF3
-73686,-73845,-738CD
-5BE5F,-5BC73,-5BDE6
-735B5,-738BE,-736FC
-5BD96,-5BD61,-5BD2A
-7388E,-7356D,-73950
-5BCD8,-5BCAE,-5BB45
-7364E,-73791,-73799
-5BD0C,-5BE5D,-5BB92
-736F1,-737D7,-735B9
-5BCA2,-5BBF8,-5BB55
-7353A,-73883,-735EF
-5BAF0,-5BB76,-5BB07
-735C4,-735D0,-736CB
-5BB96,-5BCF6,-5BC2B
-7353A,-73658,-7371F
-5BE08,-5BDD7,-5BE1A
-73805,-7384D,-73772
-5BF7F,-5BDFE,-5BE28
-73863,-73890,-7396E
-5BD4D,-5BDC6,-5BCF7
-73919,-73811,-737CC
-5BF08,-5BCCD,-5BEA2
-73604,-7372B,-73837
-5BCC4,-5BE3D,-5BC54
-737A0,-738A8,-7392C
-5BD0A,-5BCEC,-5BCD1
-7363B,-7386D,-7351B
-5BD97,-5BCFD,-5BA83
-736FB,-73847,-7362F
-5BAF7,-5BD01,-5BCE1
-73753,-737E8,-73872
-5BBD5,-5BD2B,-5BEC3
-738FF,-73890,-737FE
-5BE82,-5BD47,-5BE22
-73827,-73886,-73672
-5BEC3,-5BD24,-5BE0A
-73775,-737A0,-73645
-5BE2F,-5BAB2,-5BCC2
-7376F,-7373A,-738A0
-5C080,-5BC58,-5BB14
-73758,-73840,-738C9
-5BD7A,-5C044,-5BDDD
-7382E,-7374C,-738A7
-5BD1A,-5BBDF,-5BEA9
-739FD,-73936,-73961
-5BD2E,-5BD30,-5BD5A
-73744,-73700,-73634
-5CC78,-5CBE5,-5CC77
-73053,-730E1,-72F57
-5B387,-5B60F,-5B45D
-72E45,-72D2B,-72E62
-5B4E3,-5B416,-5B6BB
-730C7,-72FDC,-72FFA
-5B736,-5B634,-5B70C
-7328D,-72E3A,-730E4
-5B5B9,-5B50F,-5B598
-72E96,-72EEA,-72E45
-5B640,-5B4E2,-5B31F
-72EC9,-73055,-72F2C
-5B506,-5B477,-5B555
-72FE1,-72F31,-72E99
-5B463,-5B52C,-5B58B
-72E86,-72E93,-730A9
-5B1F6,-5B508,-5B372
-72F33,-72F7C,-72FFC
-5B699,-5B55F,-5B511
-7305B,-730F6,-72FDC
-5B607,-5B511,-5B497
-72E00,-72FCC,-7301B
-5B5B3,-5B642,-5B3BE
