{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-ABA76,-AB887,-AB91A
-C33FE,-C3345,-C336B
-ABAC4,-ABAD8,-ABB3C
-C3579,-C3429,-C3415
-AB9F3,-AB8E6,-AB9BE
-C3550,-C35E1,-C356D
-ABA89,-AB8A2,-AB9EF
-C3570,-C357C,-C340F
-ABC11,-ABB30,-ABACB
-C3557,-C33D6,-C361E
-ABAFD,-ABB18,-ABB87
-C3641,-C3642,-C355D
-ABB95,-ABAF0,-ABC26
-C3483,-C3823,-C3409
-ABAA2,-ABA91,-ABA54
-C343A,-C32A9,-C3430
-ABAE3,-ABB8B,-AB97D
-C3607,-C3371,-C3597
-ABB02,-ABBBB,-ABB34
-C36CA,-C3581,-C3718
-ABBD3,-ABB64,-ABA0A
-C3779,-C35C1,-C3570
-ABB61,-ABB8B,-ABC14
-C3437,-C349E,-C347D
-AB961,-ABBE2,-ABA9E
-C35D2,-C33DF,-C3475
-ABAF3,-ABCAA,-ABAAB
-C3531,-C3459,-C35FE
-ABA8E,-AB9BA,-ABD40
-C357F,-C3642,-C3401
-ABFE9,-ABF7B,-ABF12
-C30FD,-C2F5B,-C3027
-AB711,-AB535,-AB57A
-C3023,-C2F78,-C2F91
-AB615,-AB6DB,-AB51B
-C306C,-C3116,-C2F7C
-AB613,-AB5B4,-AB5B9
-C3130,-C324F,-C31C7
-AB8E6,-AB64E,-AB78B
-C2FB7,-C30BE,-C3098
-AB819,-AB69C,-AB819
-C30DA,-C3145,-C3031
-AB893,-AB7E2,-AB9CC
-C310F,-C32A3,-C30C5
-AB71D,-AB793,-AB96C
-C32D0,-C332D,-C31A8
-AB86A,-AB8A5,-AB837
-C318D,-C3378,-C3302
-AB7B0,-AB5E7,-AB870
-C3301,-C312F,-C333B
-AB892,-AB8D4,-AB880
-C325E,-C33C5,-C32E2
-AB97E,-AB9FC,-AB757
-C32A7,-C33D6,-C3303
-AB82B,-AB952,-AB680
-C334B,-C32CA,-C315D
-ABA91,-AB844,-AB79C
-C318D,-C315F,-C339C
-AB9F6,-AB85C,-AB78F
-C3316,-C342B,-C3471
-AB9F6,-ABA83,-ABA11
-C3499,-C33A8,-C3343
-AB7EA,-AB89A,-AB8A5
-C30BF,-C31AE,-C3140
-AB6F6,-AB61C,-AB73B
-C3291,-C321F,-C33BE
-AB869,-AB540,-AB778
-C3221,-C3319,-C31F7
-AB821,-AB7DC,-AB82E
-C3319,-C31E3,-C3324
-AB815,-AB702,-AB6D1
-C31AE,-C301E,-C313E
-AB8E4,-AB6CC,-AB7B9
-C305C,-C30F2,-C3384
-AB84A,-AB8A0,-AB6C3
-C31CB,-C33BC,-C344D
-AB84E,-AB83B,-AB913
-C3019,-C329E,-C33EF
-AB8D2,-AB98B,-AB815
-C3298,-C31EF,-C334F
-AB915,-AB8A5,-AB900
-C32CF,-C32C7,-C31CA
-AB8B6,-AB824,-AB818
-C326C,-C3440,-C325E
-ABA20,-AB9B7,-AB9A6
-C32F2,-C3299,-C33F7
-AB7FD,-AB913,-AB676
-C3228,-C32B9,-C32F0
-AB8A2,-AB8E0,-AB896
-C316E,-C3620,-C33FD
-AB8D2,-AB9CE,-AB9A3
-C32F1,-C3315,-C330A
-AB9FB,-ABA38,-AB8B0
-C327C,-C3398,-C347E
-AB80D,-ABA7E,-AB8F0
-C3703,-C36AD,-C3615
-ABBBB,-ABA63,-AB9E4
-C365D,-C368D,-C3895
-ABC2D,-ABB0C,-ABBC3
-C3833,-C36D8,-C37AC
-ABCD4,-ABBEE,-ABCB2
-C380D,-C36D7,-C384C
-ABC32,-ABBC9,-ABBB5
-C364F,-C35BB,-C36B7
-ABC4D,-ABD17,-ABD8E
-C37B1,-C36F8,-C37CB
-ABC38,-ABCA3,-ABD8E
-C3951,-C3872,-C38DE
-ABDE8,-ABCF7,-ABBD1
-C372A,-C384D,-C385C
-ABE00,-ABB8E,-ABD81
-C3609,-C3632,-C364A
-ABC22,-ABC38,-ABD0A
-C3675,-C38D7,-C3741
-ABC47,-ABCCA,-ABFB7
-C3759,-C3952,-C36F8
-ABD80,-ABEA6,-ABC74
-C38B1,-C37CC,-C37B1
-ABD9C,-ABDD5,-ABD64
-C3807,-C36C9,-C397B
