{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-19E025,-19DD34,-19DDEA
-1863F5,-1863AE,-1864DE
-19DD90,-19DD1C,-19DCB2
-186443,-18641D,-186537
-19DE74,-19DFB9,-19DCAB
-186413,-18642A,-18639F
-19DEA9,-19DEAF,-19DE7D
-1863DF,-186337,-1863C6
-19DDA0,-19DE0C,-19DD22
-1863D7,-18648A,-186383
-19DE3D,-19DEFE,-19DCF8
-1863E3,-1864BC,-1864CE
-19DD92,-19DEC7,-19DF2F
-186493,-1865B8,-1864EE
-19DF28,-19DD75,-19DDF1
-18630B,-18656A,-186361
-19DE18,-19DE9D,-19E062
-186437,-186352,-186384
-19E06A,-19E0E8,-19DFDF
-18682C,-1869B6,-1867DC
-19E27D,-19E310,-19E0B1
-186701,-186698,-1868EB
-19E12A,-19E35A,-19E180
-1867A0,-1867E0,-186839
-19E17A,-19E070,-19E2AF
-1866FB,-186767,-186758
-19E053,-19E1E6,-19E0B4
-186682,-18682D,-1866B4
-19E19B,-19E13A,-19E38E
-18688B,-18671A,-1867E0
-19E27D,-19E280,-19E1ED
-186799,-186898,-1867EA
-19E2C6,-19E4CB,-19E187
-18679A,-186652,-186780
-19E189,-19E1AA,-19E45B
-186690,-186757,-186766
-19E0BA,-19E2AC,-19E251
-1868AD,-186A3D,-186773
-19E40B,-19E478,-19E476
-1869A8,-186947,-18683D
-19E349,-19E28B,-19E2A7
-1868BD,-186976,-186A10
-19E5DB,-19E557,-19E5E8
-186999,-18679A,-186ACE
-19E35A,-19E411,-19E234
-1869F1,-186826,-186AE5
-19E41C,-19E2FA,-19E54E
-18697C,-186AF5,-1868D2
-19E422,-19E39F,-19E4C2
-1868E5,-186948,-186753
-19DFE8,-19E163,-19E24C
-18687D,-186717,-18686D
-19E0D0,-19DFC5,-19E0D8
-186818,-1868CD,-18657F
-19E1C7,-19E06D,-19E1EE
-186733,-1868D6,-186842
-19E1A5,-19E23A,-19E220
-1866F2,-18669C,-18666E
-19E1CE,-19E293,-19E2C4
-186748,-1869A8,-1868A1
-19E2ED,-19E280,-19E205
-18686E,-1868C0,-186862
-19E264,-19E37D,-19E21E
-186B06,-18695E,-1868A4
-19E39F,-19E198,-19E36F
-186899,-18684F,-186793
-19E42E,-19E360,-19E428
-186965,-186857,-18693D
-19E2B9,-19E3E9,-19E3BE
-1867A1,-186805,-186B14
-19E4CC,-19E2E7,-19E3E5
-1868E3,-1868B4,-186A8C
-19E3C1,-19E388,-19E3C1
-18696D,-186A61,-1869A9
-19E341,-19E407,-19E46B
-186A92,-186929,-186996
-19E226,-19E4F9,-19E2FC
-186A49,-186A3D,-186933
-19E58B,-19E351,-19E228
-1869EE,-186B0D,-186A8B
-19E4DC,-19E5A4,-19E4BD
-18755F,-187585,-1874CF
-19DFEE,-19E0E3,-19E190
-1869EA,-1865C6,-18655B
-19DEF5,-19E04F,-19DE6B
