{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A94D0,A9230,A92FC
9175E,91A0E,9185E
A93CC,A935D,A9404
917E9,917D9,918E7
A94A5,A946C,A94FD
919AF,91757,918D3
A8616,A85E0,A85EA
9195E,91839,917EF
A921A,A9120,A925A
917E6,91747,91895
A926E,A92F4,A93E5
9181B,918B7,9189D
A939B,A925B,A921E
9179D,918E9,91786
A936F,A92AD,A92CE
91852,916E6,9192D
A92F3,A9238,A923B
917DF,918E1,918B6
A9440,A9453,A94DB
91AC3,91A00,91A73
A93BE,A9438,A9559
91928,9196D,919D2
A936C,A9415,A9497
9185F,918E5,9191E
A949C,A9483,A92DE
91A98,919C4,91A1D
A939E,A92CC,A9321
919B8,917D0,918A1
A92FA,A91C2,A9479
9199C,91A99,91A2C
A94EA,A9687,A93FC
91A56,91BA3,91BA8
A94A7,A9540,A957F
91A6F,91B8C,91BC0
A949C,A9533,A9583
919E9,919E6,91970
A95BD,A95F7,A9591
91AA3,91BB8,91BC9
A9425,A95FD,A9608
91BEF,91B18,91C1A
A93DD,A96C1,A95D8
91D3D,91BD0,91BF5
A96FA,A9758,A97EF
91C6A,91B91,91ADB
A97ED,A96B7,A969D
91C9E,91C9F,91DB6
A9865,A9880,A9709
91DDD,91DAE,91D02
A9594,A97DD,A97BF
91D01,91B37,91CAF
A97E1,A9828,A9807
91BAD,91E94,91D3B
A95F4,A966B,A98FD
91D8E,91BCD,91D1A
A98EC,A98CC,A96C7
91EA5,91C95,91D7C
A9801,A95B1,A9923
91E34,91EBE,91EEE
A985A,A9807,A985D
91D37,91DFA,91F59
A9882,A97B4,A97EA
91F55,91EA5,91F19
A9976,A9968,A97AB
91D17,91D35,91D0C
A96A1,A98DF,A970D
91F6A,91E50,91E65
