{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-E401E,-E3F40,-E40CE
-CC653,-CC620,-CC6AA
-E3DA6,-E4263,-E415D
-CC57A,-CC5C2,-CC648
-E40D0,-E3F77,-E41BC
-CC486,-CC517,-CC6DE
-E3EFD,-E3EAA,-E40EF
-CC5E3,-CC47B,-CC4C0
-E4122,-E3D22,-E409C
-CC6EA,-CC3E7,-CC5CA
-E3F2B,-E41DE,-E4032
-CC559,-CC63F,-CC4FF
-E4272,-E3FC5,-E3E2F
-CC502,-CC4C1,-CC573
-E3F59,-E3FB7,-E4109
-CC490,-CC529,-CC478
-E41B3,-E3F8C,-E401B
