{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13E061,13E1C2,13E2D4
155BE2,155A8D,155B87
13E0FA,13E23D,13E197
155BA9,155C6B,155D09
13E341,13E32E,13E193
1559E0,155C48,155AAA
13E149,13E1E0,13E1AE
155ACA,155BFE,155BB2
13E150,13E125,13E0FB
155052,1550F8,15508D
13E876,13E7AA,13E79C
15611B,1560B7,156357
13E897,13E811,13E70D
156145,1563C1,156240
13E683,13E771,13E80D
1561D0,156380,1562E8
13E6A2,13E86C,13E704
156142,156336,1562AA
13E70F,13E93D,13E690
156457,1562C2,156358
13E87E,13E78D,13E7E9
156290,156323,156337
13E8BF,13E99E,13E7C7
156212,156284,1561FA
13E757,13E88D,13E729
156190,1562D8,1562D1
13E75F,13E87C,13E7BF
156269,1561D9,1560F9
13E872,13E86F,13E6F9
1562DC,15613D,156160
13E763,13E850,13E8FD
156056,1561A1,156194
13E7B1,13E965,13E889
1562CB,15615A,156355
13E763,13E9BA,13E761
1562C4,156369,1560FF
13E81D,13E735,13E865
1564CA,15639D,156298
13E862,13E7B9,13E792
15635C,1561A9,156361
13E7B0,13E841,13E8C6
156394,156438,1564EA
13E930,13E85E,13EABC
1562CC,1563E9,1561A4
13E918,13E83C,13E7DE
15631B,1563C4,1561F0
13E8A1,13EA75,13E9FE
15631B,15633C,156402
13EA76,13E932,13EA68
15632C,1561A0,156529
13E93F,13E70D,13EC48
156612,15658C,1563D2
13E977,13E8A4,13E96F
156242,15634A,1563B1
13EA8F,13EAB6,13E8BF
156557,156487,15631A
13EA1F,13E961,13EA53
15640E,156331,1564CB
13E8CD,13E877,13E78F
156293,1563F5,15639A
13E9FC,13E7E9,13E782
15643A,156173,1562F6
13E84C,13E71F,13E899
156459,156350,156235
13EA1A,13E8AE,13E7BB
15630B,156314,156293
13E7BB,13E7F4,13E82B
1564B8,1564AC,156357
13E823,13E7FD,13E745
1564FB,156367,15647B
13E88F,13E816,13E964
1561DB,156568,1563A7
13EA6E,13E899,13E8BF
156276,15643B,1561DA
13E822,13E80B,13EA0F
1561DF,156329,156383
13E88F,13E836,13E851
15647B,15638B,1563B9
13E884,13E97F,13E8D0
1563E6,156545,15644F
13E9F9,13E8D3,13E874
15647C,15644B,156200
13EAFE,13E99A,13E8B8
15634F,1564EE,156494
