{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A33CB,A345C,A344E
BAF7A,BAF9D,BABBF
A3215,A33CE,A33B6
BAF9F,BB002,BB0EE
A3771,A354D,A349B
BB07F,BAEC8,BAE88
A34DF,A32EA,A35EF
BAF96,BAFE3,BAF07
A35F4,A351B,A34B0
BAE6E,BB04B,BAF7C
A34FD,A3519,A3375
BADB3,BB027,BAE62
A34C1,A35BD,A3518
BAECB,BAF34,BAF0C
A3573,A3581,A3644
BB0B2,BB029,BAFF5
A36F9,A35C7,A3690
BAE53,BAF68,BAF4D
A360F,A371B,A346B
BAF40,BAF15,BB248
A3463,A33C5,A34A1
BADF4,BAEB6,BAFD2
A34BB,A3528,A3535
BB015,BAFEB,BAEF9
A3550,A34FD,A361C
BAF95,BAFAB,BAFE1
A3615,A3622,A343C
BAED7,BB0CE,BB091
A3620,A367A,A37AE
BAE89,BAE6D,BAFDA
A36D6,A368F,A363C
BADB0,BB08C,BB0BC
A3827,A374C,A3606
BB22D,BB196,BB1C4
A37ED,A3895,A3696
BB060,BB349,BB1CE
A36F6,A385E,A36A6
BB11D,BB18F,BB047
A38BF,A3741,A3783
BB0CE,BB132,BB2B3
A3954,A39A6,A3782
BB1B1,BB231,BB21E
A3863,A368F,A37A5
BB22A,BB200,BB2AF
A367C,A37FF,A38CC
BB1DE,BB375,BB246
A38B7,A38EC,A39C2
BB2D8,BB3B1,BB4E3
A3815,A385E,A3910
BB199,BB330,BB246
A38B8,A3807,A3813
BB376,BB279,BB41F
A3848,A37A8,A3827
BB40F,BB36F,BB353
A3968,A38B4,A38B4
BB3D4,BB3B3,BB4CB
A3A0B,A397F,A3ADB
BB449,BB434,BB59C
A3A4C,A3A2F,A3967
BB450,BB458,BB4B6
A3A86,A3A7E,A3AD1
BB3EC,BB507,BB408
A3A37,A3B07,A3AC7
B998E,B96CA,B979C
A39B0,A3A4F,A3A37
BB50D,BB490,BB3A0
A3B15,A3A90,A3CB2
BB6E0,BB3FA,BB4F3
A38D4,A3B94,A3B4D
BB4BF,BB432,BB393
A397C,A3A2D,A3A5A
BB601,BB5A0,BB6AE
A3C45,A3C07,A3A28
BB43B,BB439,BB40A
A3B3E,A3AA5,A3849
BB435,BB4E5,BB5BB
A3A39,A3A36,A39CA
BB3BF,BB588,BB516
A3C50,A39DF,A3996
BB5C2,BB667,BB715
A3BE0,A3BC0,A3A3D
BB48E,BB4FA,BB77A
A3C2F,A3C16,A3C32
BB48B,BB705,BB560
A3C1F,A3B70,A3A62
BB47F,BB4AF,BB5A5
A3B26,A3B0F,A3B57
BB5E0,BB79E,BB709
A3CA7,A3B8B,A3BBF
BB739,BB5AF,BB61C
A3BCF,A3C2D,A3D6D
BB5C0,BB674,BB528
A3B9B,A3DFB,A3C12
BB6E5,BB735,BB52F
A3B3D,A3B56,A3B3B
BB535,BB56F,BB5E4
A3EC1,A3E93,A3CEF
BB7F1,BB7DD,BB903
A3ECF,A3BDE,A3D65
BB7A7,BB8E2,BBA19
A3DED,A3CA3,A3E11
BB555,BB8FB,BB7EE
A3D71,A3BE6,A3EB1
BB86E,BB781,BB78B
A3F1E,A3EC7,A3CD1
BB8A4,BB894,BB9AE
A3DB5,A3E65,A3FB5
BB9EF,BB88F,BB779
A3E70,A3DDF,A3BDF
BB8A9,BB9C1,BB7BB
A3E1A,A3DDA,A3F38
BB9A4,BBA98,BBB8F
A3EF6,A3EE2,A3DD9
BBB61,BBA96,BB816
A3F0B,A3F5D,A3FE4
BBA34,BB9EB,BBAFA
A4017,A4101,A3F96
BB940,BBA9E,BBB44
A40D9,A40E4,A4124
BBB28,BBA6E,BBABD
A3E88,A3FFA,A3FC0
BB7C4,BB8F4,BBB10
A3FB8,A402F,A3F8E
BBBC1,BBB13,BBACF
A400F,A3FA7,A3FAC
BBABB,BBCFE,BBA7C
A41D4,A424E,A404B
BBAEE,BBBBC,BBAE8
A3DC6,A3D75,A3D5E
BB586,BB6BE,BB85C
A3B5C,A3D21,A3BB6
BB8A5,BB5F8,BB557
A3DA2,A3E95,A3CE7
BB816,BB8A5,BB889
A3E84,A3E0E,A3CCC
BB8B6,BB8B6,BB909
A3F69,A3E38,A3EBD
BB830,BB898,BB6DA
A3CC4,A3D67,A3DAA
BB70F,BB8E4,BB991
A3E8B,A3DE7,A3E32
BB823,BB8A8,BB93B
A3E62,A3F35,A409E
BB8FE,BB8C8,BB94B
A3DDF,A3F3B,A3F71
BB882,BBA27,BBA2D
A3F55,A3F41,A3DEB
BB9DF,BB931,BB98C
A4033,A3F09,A3FF6
BB877,BB8FA,BB8D9
A3ED4,A3C9F,A3F22
BB933,BB9F5,BB8C2
A3E4E,A3EC8,A3ECA
BB792,BB9DF,BB88F
A3EF8,A3FB0,A3EE4
BB926,BBB3A,BB902
A3EC8,A4042,A3F91
BB9D1,BBA5F,BB8EE
A3C62,A3EA3,A3C86
BBA39,BB8DF,BBA43
A4114,A40FE,A40C7
BB9ED,BBBA1,BBA6C
A412D,A4203,A3EF1
BB9C8,BBA1A,BBD64
A3F1A,A4047,A3FF9
BBB13,BBB0C,BB9CD
A41FC,A3F26,A3FAC
BBC3F,BBA77,BBABD
A3F8A,A40D6,A3FB2
BBC48,BBA7E,BBB32
A40EE,A41B5,A4137
BBAF1,BBDBA,BBB6D
A41C1,A409D,A4197
BBC1A,BBD91,BBD16
A4226,A424B,A4038
BBD34,BBEB9,BBD59
