{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11ED28,11EE1F,11EDF3
13680D,136851,1367D6
11EE4D,11EAFD,11EC8A
136974,136759,13692A
11EEF1,11ED9D,11ECF2
136743,13695F,136638
11ED28,11EB7A,11ED45
1367D5,136A20,13689F
11EE21,11EE66,11EE96
13692C,136705,136607
11EBA5,11EE27,11EEA0
136847,13682D,1367BD
11EED9,11ED78,11EDE0
1368C2,1368F0,1369BA
11EDAB,11ED16,11ECED
1367BC,1369A1,136A02
11EE38,11ED9E,11EF98
1367C2,1368D4,1369AC
11EEF2,11ED94,11ECD4
136735,136875,1369E1
11EE23,11EF60,11EC69
13689E,1367E3,13683D
11ED0B,11EF00,11EC8B
1365E1,136999,13691A
11EF3B,11EDC7,11ECFE
1366DC,136828,13695B
11ED2A,11EEEE,11EE93
136837,1368EF,1369A4
11F03E,11EEA8,11EEBE
136783,13695F,1368DC
11EDA0,11EE64,11EDD6
136A2D,1369E9,1367C2
11EDC0,11EE02,11ECA4
1368E3,136798,136765
11ED68,11EDAC,11EF40
1369CC,136960,13697E
11EEE0,11EF07,11EE95
136710,1367D8,13689E
11EE1C,11ED47,11EF3D
136A80,136944,13695A
11EBD6,11EDE1,11EF21
136897,136968,136967
11ED72,11EEF6,11EDC3
1367AD,136795,1369BD
11EE31,11EDFE,11EDFB
136810,1368E8,136879
11EF00,11EF10,11EECE
1368FD,136860,13687E
11ED39,11EF28,11EDBB
136784,136798,136957
11EDB5,11EE1E,11EDBF
136A9F,136A38,13691E
11EE16,11EDDA,11EEB8
1368EC,136889,136868
11ED2F,11EBD5,11ECCE
135407,135300,135407
11EC5D,11EB31,11EB1D
1366C3,1365FE,13656C
11EBB8,11EBC7,11EBA4
136762,1365AD,1368B6
11EBAF,11EC11,11EC68
13668C,136626,13676B
11ED3D,11ED14,11EE22
1367A1,136890,13674D
11EE5F,11EF0F,11EDEF
1368C7,136786,13671F
11ECE0,11EB56,11EC25
