{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
AC57D,AC65D,AC4DC
C4158,C4215,C40A0
AC99D,AC816,AC5E8
C4088,C4118,C4062
AC6E8,AC780,AC78D
C41AF,C4113,C425C
AC661,AC910,AC6FF
C44A7,C4276,C4367
AC5B5,AC747,AC719
C3F30,C404A,C4279
AC66E,AC7EE,AC799
C42E6,C4274,C415F
AC6B0,AC6A6,AC749
C40EF,C40A0,C4395
AC6C2,AC631,AC89D
C41BE,C4077,C427C
AC844,AC819,AC789
C434F,C4193,C4175
AC6B6,AC81E,AC5F7
C4175,C42D5,C41B1
AC800,AC706,AC877
C4184,C4214,C41EA
AC92B,AC8C5,AC7AE
C4183,C40F1,C418C
AC7C4,AC693,AC3E1
C4302,C419C,C413A
AC8CF,AC756,AC678
C423C,C42C5,C414A
AC92C,AC8B4,AC752
C4144,C4148,C4194
AC7C8,AC79D,AC5E7
C4105,C412E,C42DA
AC778,AC7E1,AC770
C3F3C,C40AC,C3F88
AC841,AC69F,AC55D
C41F6,C41FF,C424D
AC6A9,AC783,AC82E
C41CE,C43A6,C42CC
AC93B,AC86D,AC794
C435C,C4378,C44F7
AC82D,AC8A3,AC8B3
C436B,C42A4,C41A4
AC652,AC695,AC95F
C425E,C438E,C41D6
AC635,AC8A9,AC7E9
C42B7,C4188,C41E3
AC87F,AC82D,AC736
C42FB,C43FE,C42F1
AC9A6,AC9E1,AC8EB
C4255,C428E,C42C1
AC998,AC934,AC7F2
C44F7,C4267,C42F1
AC8DF,AC849,AC8DD
C429B,C42BF,C4346
AC8EE,AC8BB,ACA0F
C30C4,C2F66,C2F91
AC4FF,AC4F4,AC52F
C40A9,C428B,C4131
AC715,AC639,AC700
C3FB0,C4031,C4135
AC675,AC6D0,AC6E4
C408A,C40F7,C4087
AC734,AC79E,AC608
C40C3,C407F,C4058
AC65F,AC64B,AC725
C40F7,C40E4,C419A
AC50D,AC5D3,AC652
C3F65,C40BF,C4224
AC765,AC80F,AC640
C4038,C4092,C423A
AC55D,AC7CD,AC3CD
C4179,C4391,C4238
AC544,AC5EC,AC5BE
C40E9,C41BD,C4212
AC751,AC58B,AC5E8
C416B,C4245,C4148
AC703,AC661,AC488
C3F5D,C402B,C414E
AC55B,AC68C,AC5B0
C40F4,C40BA,C4285
AC873,AC73F,AC72F
C431E,C3FD4,C41FC
AC635,AC571,AC731
C40CB,C4302,C451B
AC980,AC9FE,AC947
C435B,C4268,C42EC
AC898,AC706,AC82B
C422E,C43BA,C43D9
AC6D6,AC88D,AC70F
C4110,C4368,C41C8
ACA9D,AC9E1,AC7DA
C4418,C4291,C4361
AC984,AC6BD,AC95F
C4526,C415A,C4087
AC6FA,AC959,AC85B
C4233,C4203,C4192
AC785,AC8D6,AC91E
C4389,C4343,C42F3
AC7A4,AC815,AC88F
C43A0,C425B,C43D4
AC8AD,AC8BB,AC8EA
C4299,C446B,C43F2
AC77B,AC825,AC698
C438F,C44E0,C42F2
AC8C3,AC818,AC869
C4245,C41B9,C4216
AC91F,ACA53,AC96D
C4271,C43E9,C43A5
AC8B5,ACA85,AC942
C42EF,C44DA,C4455
AC9D5,AC8F2,ACA37
C4301,C43F8,C4361
ACB05,ACADC,AC907
C4352,C4317,C43F6
ACA53,AC8AC,AC92E
C4351,C4407,C445C
AC92B,AC812,ACBA2
C43C4,C43D2,C4433
ACA26,AC824,AC8F0
C44B8,C425B,C43C6
AC989,AC8F7,ACA40
C43EF,C431D,C4640
AC7E6,AC876,AC9A7
C439A,C43EA,C4516
AC9C3,AC90C,AC806
C425A,C44A6,C4596
AC7C7,AC879,ACA5B
C445D,C4317,C4482
AC979,AC8BC,ACABF
C4421,C41AE,C44CC
ACA3A,ACAE1,AC98E
C4475,C44AB,C43D1
AC89D,ACAFF,AC8A3
C42A7,C445C,C4528
AC7C3,AC838,AC80F
C43C4,C4306,C44D4
AC999,AC7C5,AC901
C4383,C43A7,C43D5
AC98E,AC9E8,ACA03
C437E,C4458,C44EB
AC89C,AC8EA,ACB18
C4430,C44FE,C4327
AC99A,ACAA5,ACBC1
C44F7,C4642,C44C3
ACAA8,AC9AA,ACBF7
C45A8,C4396,C42D8
AC9DB,ACAD9,AC9A7
C4404,C4520,C440D
ACA53,AC956,AC81C
C44C4,C453F,C4352
AC90E,ACA32,ACA99
C460D,C467A,C43E2
AC9E5,ACAFB,ACB4F
C46E8,C452F,C44D4
ACD18,ACA43,ACE67
C443B,C44B4,C4672
ACB1C,ACB77,ACB84
C43B4,C4527,C44C9
AC932,AC8F5,AC9EC
C44E9,C44C9,C4722
ACB28,ACC71,ACBD3
C42D5,C45D9,C43EC
ACB47,ACA3A,ACBDA
C44D7,C46CF,C4523
