{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
7CF93,7CD02,7D00B
94A57,94A1C,949CF
7D171,7D075,7D0B1
9495D,94AE9,94A0C
7D19F,7CF98,7D0C4
949A0,94B16,9498A
7D066,7D1DD,7D28D
94B5B,94B58,94AA4
7CF61,7D009,7CD56
949AB,949F1,94B3B
7CF67,7CF16,7CEFC
949EC,94CA9,94C66
7D232,7D054,7D087
94D1F,94C17,94CA9
7D30F,7D102,7D07F
94895,94A4F,948DA
7CF66,7CF7A,7CFAB
948BF,9490F,949CB
7CC6D,7CB7B,7CC39
946D3,9475B,94703
7CD2D,7CDAA,7CD37
94753,94743,946E3
7CE00,7CCAE,7CCE0
94709,945C5,94782
7CD42,7CE42,7CAE2
945EF,946FB,94780
7CEB6,7CE7F,7CBF5
94753,94847,946C4
7CD94,7CD77,7CD64
94884,948F2,9478F
7CD28,7CE21,7CE56
94ACB,94989,945E8
7CE5E,7CE07,7CD76
94802,94A6E,949C1
7CD3B,7CD35,7CE1F
94776,94856,9481F
7CFD3,7CDAE,7CFB6
94980,94AC1,94841
7CF3D,7D059,7CFBD
9477C,94903,94977
7CE82,7D01C,7D098
949B2,94A9F,94AC0
7D0B2,7CE12,7CEBE
9479A,94A5C,94AD0
7D0E9,7CFCC,7D048
94B06,94ABC,94BD4
7D14C,7CFE5,7CE76
9483B,949F9,94B0E
7CF54,7CEA8,7CFDA
948FB,94AAE,94953
7D141,7D0F3,7D121
94B65,94A96,94AA2
7D0C1,7D19B,7D0F0
94AEC,94C35,94AFF
7D0B8,7D1DE,7D256
94A16,949AF,94B29
7D19C,7D030,7D1F4
949B0,94C82,94C7B
7D0CC,7D057,7D26A
94BE4,949DF,94C24
7D1AF,7D12C,7D108
94D09,94B77,94C4C
7D167,7D153,7D158
94D13,94B9A,94C94
7D2C1,7D086,7D0B0
94B00,94F70,94CDD
7D1F7,7D3FE,7D292
94DC4,94DE8,94B0B
7D32B,7CFF4,7D1A3
94BE7,94CEC,94DF6
7D182,7D362,7D2F2
94C19,94D45,94B0E
7D211,7D16A,7D2BF
94D15,94C36,94D1C
7D38B,7D113,7D359
94D9B,94C9C,94CC4
7D429,7D4CE,7D61B
94E86,94D6E,94D28
7D221,7D307,7D1C1
94C11,94D42,94CF1
7D314,7D398,7D347
93C85,94048,93F9B
7D38E,7D472,7D24A
94E15,94E42,94E19
7D447,7D243,7D259
94D5C,94C8F,94E8A
7D241,7D27D,7D1B7
94C9B,94B2D,94BA2
7D1A6,7D2B5,7D2A6
94E7D,94E9B,94E4D
7D335,7D282,7D440
94C48,94CB8,94C6C
7D308,7D1CB,7D29A
94C55,94CDF,94C60
7D20C,7D303,7D309
94D76,94C79,94CF3
7D0F4,7D3CF,7D450
94DC9,94D3F,94CB3
7D5CE,7D3A9,7D2EA
94EF4,94E09,94D19
7D34A,7D550,7D40E
9509A,94E43,94F4F
7D55E,7D484,7D3F3
94FCF,94FBB,94E6A
7D472,7D282,7D51A
94F0A,94E92,9511E
7D53D,7D57D,7D2A0
94E8B,9506F,94FE0
7D582,7D40C,7D50A
94E13,94FDD,94FF2
7D47C,7D38E,7D31E
95123,9503A,94FA0
7D674,7D8FB,7D6E8
9502F,94FFA,950A5
7D5F4,7D7D0,7D8B9
95180,9525F,951D6
7D7C1,7D7DA,7D7AC
95394,952EB,9520C
7D833,7D8A1,7D86B
95318,95145,95252
7D881,7D700,7D77B
951C6,95198,95172
7D6DA,7D6E7,7D60D
9524F,951F2,952A1
7D65E,7D7B5,7D7CB
953AF,952E6,94FB4
7D86C,7D856,7D62B
95093,951AB,9525E
7D6E7,7D484,7D6A2
95390,952DA,9541E
7D78C,7D862,7D8AC
952FF,952F0,95141
7D8DB,7D9B0,7D77A
9510B,9532B,95124
7D8F2,7D8D9,7D801
9532A,952B6,9516A
7D940,7D84C,7D7A2
95464,95359,951E2
7DA02,7D8D3,7D838
95205,95337,9518C
