{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
62060,62219,6211E
4A4CB,4A5EF,4A613
6227F,62020,621EC
4A699,4A701,4A719
620D7,62098,620FD
4A6DC,4A6FB,4A72A
62150,62183,62210
4A64D,4A5D1,4A632
6210D,62306,621EE
4A8D5,4A744,4A5EA
621C0,6225F,623F6
4A5AE,4A5D1,4A6B2
621E9,61FA2,62148
4A6B4,4A6C2,4A6C7
6208E,620E9,62218
4A6B7,4A5C8,4A618
61FC5,62066,62017
4A6A5,4A748,4A618
62351,623C4,62195
4A7C8,4A585,4A842
623F5,62169,62414
4A915,4A573,4A6B3
62241,621DD,621B9
4A99F,4A88F,4A6B1
62052,62346,61FAB
4A870,4A8F1,4A710
62269,622F0,62192
4A7FF,4A821,4A69F
6244C,622E3,621EA
4A6C0,4A650,4A76F
621A8,622D2,622B7
4A777,4A85E,4A680
6217F,623C8,6224C
4A68F,4A683,4A750
61579,6164F,616DD
4ACC9,4AC2B,4AE23
625C1,626A0,62667
4ACF5,4AD20,4AD4F
6287A,628B5,629C7
4AEB4,4AEAE,4AEAC
626D2,6288B,62980
4AF24,4ADEE,4AE72
628AE,628BC,6278B
4AE41,4AD43,4ADEA
627B4,62670,627AF
4AE7B,4ACF5,4AD42
628BC,62978,6273A
4AC21,4ABE9,4AE0B
626C9,628DD,62983
4ADA9,4AD6C,4AC29
62AA4,629F6,62966
4B004,4AE1A,4ACD5
626F2,62791,627EE
4ACD7,4AE9F,4ACDE
626EB,6297F,62449
4ACCC,4ADF2,4AC0A
626E7,626F6,62838
4ACE0,4ACD7,4ADBD
62934,62842,62721
4AF9F,4AF07,4AF7E
628FE,62820,62724
4AE80,4AF1A,4AE99
62AAE,628EC,62945
4ADFC,4AEC4,4ABEC
62A85,62862,628C8
4AF21,4AD73,4AFD1
62A61,62895,6275D
4AFC4,4ADE2,4AFF6
628B1,6286B,62824
4ACF7,4AE64,4AE8F
62938,62984,62B82
4AF92,4AFCF,4AE7B
627A2,62A19,62A9C
4AE9C,4AF4A,4B039
628EE,629DA,62B8A
4AFB9,4AF93,4B0CC
62AD8,6288A,628B8
4B0AF,4AF98,4AFE8
62832,62908,629DF
4B066,4AFED,4AF64
62899,6299F,62934
4AF5F,4AFFF,4AE98
629FC,62A8B,62B1A
4AF0E,4AF48,4AFA3
62A09,628AE,627F4
4AF9A,4B075,4B114
629D7,62A57,62B9A
4B0D3,4AFF0,4B115
62C42,62A91,62956
4B069,4B07D,4AFC2
62A0F,62819,629CA
4AF86,4AEE9,4AF2F
62878,62AC0,62A79
4AEB4,4ADF8,4AE88
62734,62B56,6296D
4B041,4B088,4B021
62A0F,62AE9,62CF4
4AF80,4AEE7,4AE93
62B80,62AFB,62B64
4AFFB,4B1F0,4B074
62917,62AB3,628A9
4AF77,4AE0A,4B095
62AB4,62B69,62A88
4B1A1,4B075,4B095
628D3,62B75,62C52
4B0A7,4B1FF,4B189
62C39,62B5E,62C32
4B034,4AF48,4B08F
62947,629BE,62AAC
4B109,4AFA9,4B081
62B94,62A73,62A2A
4B060,4B285,4B39E
62BAB,62A7D,62AC4
4B0D4,4AFE8,4AFEE
62C80,62B4F,62D20
4B02B,4AFE9,4B18D
628DB,62AEF,62A0B
4B214,4AFF1,4AF5F
629BC,628A9,62B45
4AFDB,4B042,4AFB5
62A89,62A2E,6294B
4B0A5,4AF9E,4AF63
62DCB,62BA2,62D6E
4B020,4B381,4B31F
62DA5,62B6F,629E9
4AFED,4B1CF,4B168
62AB9,62B4C,62BE2
4B0AD,4AF86,4B083
62B1F,62A43,62B10
4B1CF,4B193,4B18F
629E9,62D19,62C2D
4B14D,4B23E,4B0AD
62AD5,62A59,6299C
4B034,4B157,4AF98
62B03,62C67,62D87
4B203,4B2AD,4B1A2
62ADB,62C76,62A51
4B17E,4B02E,4B16D
62C02,62B09,62CEC
4B194,4B07E,4B082
62D96,62AA1,62C0E
4B0E1,4B0ED,4B1A0
62D3E,62C50,62C0F
4B1CA,4B1DF,4B26B
62BA6,62AD7,62CDF
4B4AA,4B23F,4B085
62BBB,62CEA,62D80
4B250,4B26B,4B16E
62C7C,62AF2,62B49
4B0B9,4B0E3,4B1AE
62CE9,62B6E,62B69
4B38A,4B34B,4B314
62C84,62C1D,62C62
4B00E,4AF25,4B133
62B2C,628B2,62A0F
4B47C,4B258,4B28A
62C12,62CAF,62C2C
4B13C,4B13F,4B2DF
62AD3,62C79,62BDC
