{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-140C4,-140F9,-13FF1
3947,3A26,394B
-1410D,-14096,-14198
3A3A,39B6,3C71
-13E34,-13E9A,-14077
388A,3D14,3A9F
-13F93,-13F2B,-13EC7
3BE2,3BE6,39C6
-13EC7,-140A1,-14028
3B3F,3C6F,3B84
-14007,-140CC,-1414C
3B9E,3ABC,3A98
-1410A,-1412E,-140C4
38D0,3946,37F5
-1407F,-14221,-14085
3763,3957,381A
-13F8E,-13FA7,-142C5
365A,389C,379E
-13FFD,-13F41,-14151
395D,3978,3789
-1416C,-14101,-14013
38F3,3999,3A87
-13F11,-13E27,-1403E
3896,38F3,397D
-141AE,-1401D,-1409B
38D9,38A2,3994
-142C4,-141B2,-14200
3949,3A6B,389E
-14185,-14186,-143D9
3A78,3922,3B3B
-141E4,-1419E,-14139
38B1,3848,3885
-143F0,-14385,-14134
36C6,38CF,377E
-141BA,-14395,-14341
37E4,37A6,3A6D
-14084,-1412A,-1411F
3927,395B,3956
-14184,-141BC,-1444B
39BF,381B,37FA
-141C9,-141D2,-1412E
38DA,392D,390F
-13F7B,-14177,-14080
38C8,3945,38BA
-1407A,-140D8,-1403F
3DDC,3C76,3B2C
-13E98,-13FC5,-13EBA
3A47,3CFD,3CA1
-13D5A,-13D8F,-13E6D
3D65,3C37,3B6B
-13D0A,-13D6B,-13DD0
3ADD,3A7C,3C8B
-13EAB,-13DE4,-13C63
3AE8,3CE7,3DE8
-13C32,-13E37,-13DDD
3F84,3CCC,3C9C
-13E60,-13E4A,-13E52
3D60,3E4B,3BFA
-13BAA,-13CA3,-13DCD
3CC9,3B9F,3AB7
-13C1C,-13C8D,-13E4E
3B92,3AF9,3C3C
-13DC7,-13F1C,-13DD5
3A7E,3C70,3C4A
-13F7B,-13EFF,-13EE8
3B17,3993,39E4
-13F21,-13EFD,-13EB6
3B39,39C4,3B34
-13C30,-13B94,-13D81
3BDD,3AEE,3C05
-13E37,-13F3D,-13EC7
3B35,3CC9,3B26
-13C36,-13E95,-13DEA
3C17,3DA3,3BAF
-13D1E,-13E9D,-13E96
3C70,3BF0,3E3B
-13C33,-13BA7,-13C4B
3CE9,3AF1,3BB9
-13B4A,-13EF3,-14043
3BDB,3C8F,3B4B
-13DF4,-1400B,-13C16
3C13,3A5C,3E1E
-13CB6,-1407E,-1404E
3A65,3B19,3B4A
-13CD0,-13E07,-13DF3
3B10,3B68,3BE9
-13F22,-13FFB,-13EB6
3AFC,3B38,3AF9
-13D33,-13D43,-13EED
3CC5,3A76,3A33
-13D40,-13F0D,-13F0C
3E9F,3D6D,3C5F
-13DC8,-13F83,-13D2E
3D60,3DFB,3BF6
-13D65,-13D24,-13E88
3CAF,3950,3C66
-13EA2,-1401D,-13FA5
3BA8,3A72,3B7A
-13E5B,-13F03,-13E1D
3C08,3AA9,3D08
-13C8F,-13D69,-13D85
3EAE,3DFC,3CAA
-13C88,-13F05,-13E30
3DC7,3B5A,3D14
-13CB8,-13D2D,-13D1A
