{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
3C6C,3CA3,3EBB
-13C39,-13D39,-13E8D
3CEF,3D13,3E41
-13D41,-13D35,-13D64
45C2,44AE,4530
-16DB3,-16E0B,-16CFD
B1F,BAA,B3D
-16F78,-16EDA,-16D88
B8F,B12,D27
-16D55,-16C08,-16F74
CEF,C1C,AEE
-16F29,-16D79,-16EC1
CC3,BF5,BE2
-16D66,-16DB5,-16E70
BE5,A1A,C24
-16C4F,-16F76,-16D59
C37,CA7,CA9
-16E0E,-17068,-16DE4
995,BA8,AD9
-16E62,-16E62,-1704F
C97,BE7,D2F
-1712E,-16F4D,-16F07
B9C,AD2,AB0
-16E99,-16EB9,-16D21
C37,C10,D51
-16E67,-16F1C,-16DBB
8EF,C1F,DD4
-16DF0,-16E56,-16E06
A89,D8E,C3E
-16EB3,-16DDC,-16C6B
CBC,E91,D3C
-16C6F,-16C95,-16CC3
C3D,E0A,BFA
-16DB7,-16F78,-16BCA
C85,A5B,B67
-16E81,-16ECD,-16D62
B22,D24,CEB
-16E7B,-16E76,-16F5B
9FF,C5C,AD0
-16FB5,-16D25,-16E73
CF0,B6E,AA9
-16DFB,-16E78,-16F1E
ADA,B6B,BDE
-16D11,-16E79,-16D33
B2A,CA6,E94
-16DED,-16E51,-16D9E
E8E,BED,CB2
-16C3F,-16BF4,-16C8E
D1F,E29,ED3
-16BF5,-16E74,-16D39
DA2,D16,D66
-16BCD,-16C37,-16D5A
C7C,D48,DF8
-16EB8,-16D6C,-16DB5
B80,C77,CF1
-16B55,-16CDC,-16CC6
D3A,BB7,CAE
-16E45,-16E57,-16C4E
D19,E7B,C62
-16ED5,-16F20,-16DB2
C4C,B35,D3C
-16E3E,-16DCD,-16D74
AF8,DC6,E09
-16EAA,-16E2B,-16EE5
D8C,C04,E5C
-16E58,-16E92,-16EB9
B60,C0A,C7E
-16CDB,-16D4E,-16DE0
E74,E55,D5F
-16B01,-16BEF,-16C2C
EDB,C22,D62
-16C10,-16B43,-16B3F
E92,E83,E4C
-16CB2,-16CC9,-169B0
E7B,FA8,C73
-16BF5,-16C4B,-16CA7
EEE,E43,FC6
-16A11,-16ABF,-16C83
F95,F89,DDD
-16C2F,-16C84,-16B87
D1F,E7B,FE0
-16A44,-16B31,-16B8F
EE2,FC6,D5F
-16BD2,-16CBF,-16C19
E41,F42,F28
-16B0E,-1699F,-16B2B
10C1,F5B,D6C
-16C51,-16C4A,-16C21
EBA,CF1,F2C
-1696B,-1697B,-16B62
1022,1001,FAA
-16B2E,-16C92,-16B29
1056,E78,106D
-167CC,-16A4B,-16BBB
EE8,F6C,E3C
-1697A,-16BE2,-16CBD
F94,10C2,FAA
-16B9C,-16AC9,-16A4E
DCD,DCB,E7C
-16CBA,-16CCD,-16BFC
D63,E05,D2C
-16C27,-16CCD,-16BDA
BEB,CEC,C75
-16E1D,-16F32,-16CDE
CAC,E9D,E19
-16B6A,-16CA2,-16EC1
DD9,C7B,ED3
-16C12,-16C96,-16A79
E1F,E6D,EEB
-16B50,-169D7,-16AD3
DE3,D6B,F3D
-16C16,-16B1E,-16B7E
F70,DC7,F20
-16A5C,-16BA4,-16B3C
FF6,F0D,D31
-16B85,-16A63,-16B78
F0F,F6D,EEF
-16B70,-16CE7,-16CC7
D39,D08,D79
-16C9C,-16C16,-16C3C
DE7,F11,F4F
-16C19,-16E2A,-16C8C
D54,DD8,F3B
-16B29,-16B92,-16B82
EED,E78,1002
-169FE,-16B8A,-16B8E
1134,FA2,100F
-16A2C,-16916,-16BA8
E0F,E2A,EBD
-16E2D,-16AD8,-16B6C
DBF,EEE,FAB
-16C27,-16C77,-16D73
527,493,478
-16740,-16619,-16826
118D,12AF,12AA
-16775,-16945,-169A8
1216,1166,11D2
-166C4,-16688,-1663E
125A,1387,1275
-1683C,-166D6,-16706
1341,11AD,121A
-168B9,-1680B,-16772
1248,12FB,14F6
-16735,-167C3,-16587
117C,125E,1243
-165A7,-16730,-16783
11A5,11A3,11B3
-167A6,-1675A,-1680A
1423,144A,1351
-1688C,-167DB,-16789
1263,126B,1320
-166DB,-169AE,-16828
1316,12EE,1262
-167E5,-16673,-167DE
1321,14E4,125E
-16835,-16657,-1697C
14A8,153A,1449
-166BB,-165E9,-1672B
1273,128E,14D4
-167AC,-1676B,-167A5
13F1,13DF,1471
-16720,-16652,-16691
1355,1269,1508
-16648,-166D8,-16459
11EF,1337,12D1
-16782,-166EC,-167B0
1239,132E,1226
-167C7,-167E7,-16675
133A,1520,11E4
-16769,-167AC,-16992
11F3,12DC,138F
-1690F,-1674F,-1684C
125A,1213,1161
-166B3,-16631,-166F4
1225,124D,10C8
-16793,-167B8,-167A1
1267,1334,1488
-168BD,-1685B,-16673
1454,12BD,12FB
-1684B,-1670F,-168DF
1360,15C0,13B0
-1656D,-167B6,-16786
13EF,1273,152C
-165BD,-16561,-167D7
15AF,1541,1312
-16706,-16550,-1683C
1211,1265,1442
-16833,-16733,-1658A
14CD,1343,11B7
-166D2,-167C2,-16587
1338,13F2,138F
-16660,-166B3,-166BC
12AB,13BB,13C6
-1668B,-16755,-16610
13E9,132E,14E3
-166CB,-166DB,-16683
17EE,1724,17C2
-164D8,-16321,-16444
15EA,188F,174E
-1631B,-16400,-163C8
1555,1738,17E6
-162AD,-1640B,-162BA
1527,166F,15F7
-16172,-163A2,-164DD
1751,1744,16DA
-162C3,-164B0,-1614D
1833,1775,17A4
-16312,-16248,-16313
1859,1845,16AE
-162C0,-160B3,-1628E
16CE,17DA,1800
-1638F,-16498,-1637D
16A2,182B,1635
-163E0,-1629E,-16220
1626,14FE,15A0
-162FF,-163B4,-162A6
164A,16D3,16DF
-16314,-1613E,-1629D
1616,1458,158B
-16206,-16418,-1639B
1693,1709,176E
-16253,-163F9,-164DA
1659,15A0,1641
-162F3,-161FA,-1633A
1832,17E4,1742
-162AF,-16349,-162F2
15FE,15E5,169A
-162E2,-1679D,-1642A
14E9,1450,12FC
-164FE,-164F8,-164B4
1548,15B6,1366
-164E3,-1658C,-16674
1625,162B,1647
-1633D,-164B1,-16557
14D5,14FD,166F
-164D0,-1664F,-1662D
14FB,1578,1703
-16229,-16375,-16271
16D1,1711,1649
-1642D,-164ED,-16553
16DB,15D9,14F4
-164CB,-16280,-1643F
16A7,153B,17C9
-16325,-164B5,-161FC
1610,17CA,1795
-16361,-16508,-16403
144D,164D,15BD
-1635C,-1649A,-1642C
151A,1818,15A3
-16488,-1660A,-161A6
17B9,1590,1700
-16244,-16508,-163E4
18C4,17AB,18C2
-1627C,-161C7,-16322
1692,16E3,16BA
-16411,-163E9,-16303
160C,14F5,16F7
-161D6,-16364,-161FB
169D,17FB,162F
-16467,-16435,-16503
56E,5FB,59A
-16426,-16812,-165CA
1548,14F7,1514
-165F6,-16548,-163E6
14C9,1402,1527
-16421,-16503,-16476
149E,15FF,170C
-164C9,-162A5,-162FE
181D,169E,168B
-1628D,-16436,-16328
1576,15B8,1626
-164F3,-162ED,-163BB
15BD,1600,18DE
-16382,-1635E,-16172
169B,1612,17E6
-163A4,-164B6,-164CC
16A7,16DE,1651
-16550,-16628,-16313
1522,14F5,147C
-16352,-16430,-16431
164C,1514,1688
-162F3,-1655D,-162BF
1443,1573,13A6
-1656B,-162EF,-1639A
151D,1673,157B
-164F9,-162ED,-16434
1740,14E4,162C
-1635C,-162EA,-16200
187F,1866,17DD
-161BA,-160EE,-16202
15AF,1597,13CD
-1621F,-16300,-1627C
1469,14A4,14B9
-16574,-164B0,-16598
1263,1403,16A3
-16470,-163F8,-163F6
156B,15EB,1672
-163D6,-166A5,-16360
1730,16F6,15E9
-16483,-1627B,-1641C
18A6,173E,16F1
-1623A,-16495,-1645D
13CA,15B6,1598
-16329,-16497,-16481
1653,167D,1683
-1627F,-16434,-1631F
1579,163A,1606
-16388,-166F7,-1645C
15F3,173A,14E5
-164AB,-165CE,-1656D
14B9,14D1,1633
-16637,-1649E,-163C7
163C,16AD,1609
-16479,-163C1,-1650E
178F,1685,16B9
-162DF,-164BF,-163D9
1649,1659,181A
-164C4,-162B7,-1651A
16A6,13C6,1522
-165B4,-16582,-164B3
1590,1555,1683
-162D5,-163FC,-16212
161C,166B,1623
-1635A,-164BA,-1652A
1922,18E7,19BE
-16005,-161F3,-1620A
1835,17BD,1761
-1609C,-16221,-16245
1758,1949,1812
-16388,-161CD,-16040
17AE,194A,1831
-160FC,-16162,-161ED
1927,1676,1836
-160D4,-16099,-16227
1818,1649,1921
-160FC,-16027,-16270
1736,1871,18B9
-16264,-1613B,-1634B
19A6,198E,1902
-1624B,-15FA1,-16196
1900,18C8,1964
-162CE,-1611D,-1615F
1841,18C9,184A
-16150,-16316,-16154
171B,18C1,187E
-16014,-16141,-16168
1818,1990,176B
-164E6,-1625D,-1629A
1768,18AC,1AF3
-1601D,-161C3,-161B7
17C9,1867,1929
-161F4,-161E4,-16171
1960,17EB,18D0
-16324,-16276,-16298
171A,17E5,1959
-16394,-1623D,-161DA
17D4,17D7,17F8
-161BA,-16324,-16379
17C3,180F,16B8
-162C2,-16441,-161B9
190E,17F5,1832
-1628A,-1625C,-16293
1747,17EE,1715
-1633B,-16392,-16248
187B,1631,18CE
-1633A,-16230,-1613A
16EC,1792,17A8
-162B1,-1618B,-16268
190D,1AD6,1773
-161E9,-16081,-16390
1A6A,19DA,1851
-160AF,-161A9,-16033
1C07,185B,1AF2
-161DF,-16189,-161BB
185B,1A0E,1854
-16253,-1606A,-1627F
1883,18C5,1775
-161FE,-161E4,-1612D
181A,1830,1983
-15EE8,-160D7,-16040
197E,195E,1A99
-1608A,-16145,-160B7
1872,1ADA,1A69
-16062,-160D3,-15F38
1AA8,1AEC,1CA1
-15FC5,-161B7,-160AA
1A4B,1910,1A0F
-160E1,-15F99,-1602C
119B,11F2,123E
-15DAB,-15E75,-15CC2
1DFD,1F1F,1E45
-15AAB,-15B3E,-15DD2
1F40,1D05,1E87
-15B06,-15E2A,-15BFC
1E08,1E00,1DD9
-15B9B,-15ABE,-15C17
1F79,1D44,1DC4
-15D68,-15CC4,-15B72
1CB5,1E58,1E26
-15D3B,-15BBA,-15AE5
1D70,1EEC,1FDC
-15B73,-15AE2,-15C2C
1E8C,1D45,1DCD
-159D2,-15A40,-15CD6
1F16,1E7A,1E52
-15E96,-15BF4,-15A78
1E9A,1F66,1C92
-15C9E,-15C20,-15B71
1FBF,1EB6,1E29
-15B07,-15A06,-15BB8
1F18,2048,208F
-15868,-15A5F,-15A3A
2019,1F9D,1DF4
-15BCC,-15C4A,-15B57
2020,204E,1FD7
-15B9D,-15A9F,-159A7
1F02,2147,1FF2
-15A8A,-15B03,-15B12
1CCA,1D9F,1FAD
-1596D,-15A57,-158D2
1E94,1E02,1F86
-15A97,-15C95,-15B0F
1F5D,1E0A,1FA3
-15A9C,-15CB6,-15B6B
20B0,1E21,1D9A
-15C17,-15B95,-15DFC
1AF6,1C4C,1AB1
-15D27,-15B0E,-15D22
1F7F,1E9C,1EA8
-15CB4,-15D7D,-15BDE
1F12,1EF1,201B
-15D21,-15D7E,-15BD0
1F57,1E84,1F34
-15AB5,-15BDA,-15D9C
1E9A,1EDD,1ECD
-15CD4,-15CC8,-15B2B
1FEB,1FF2,2022
-15BDE,-15B8C,-15BAE
1F39,1D56,1EE7
-15CEB,-15CD4,-15C6F
1D30,1F20,1EB8
-15B05,-15D97,-15A67
1E87,1EB4,1FFD
-15A6B,-15B08,-15A18
1F45,1F2A,1F34
-15978,-1596B,-15D03
1DF2,1F94,1E9B
-15C1B,-15D34,-15CD7
1FA1,1E05,1E33
-15B23,-15A9C,-15BCA
1E4A,1F9E,1DE8
-15B8A,-15BC7,-15BAB
20B7,2187,20AB
-15A67,-15A4E,-1591A
1F60,1E0A,1ED8
-15960,-159A9,-15A8E
1F4E,2122,1ECD
-15B40,-159B5,-15AC2
1D8E,2038,1FB2
-159FA,-15BA9,-15A09
2161,1FF6,20CD
-15800,-159EA,-159EB
2004,212A,203F
-15A49,-15910,-1593D
21CE,21CA,215B
-15952,-15894,-159A4
1F6E,2093,1ED2
-158B8,-15A26,-15AAE
20F3,1FDA,20ED
-15ACD,-15BDC,-15A7C
20A2,1FCD,1EC5
-15A40,-15982,-159A1
2150,216A,1F35
-15875,-159F6,-156D8
1FAD,1F99,217E
-158BC,-1596B,-15A52
20A0,208A,1E33
-15C41,-15BC9,-15A10
1D6D,1CF0,1F70
-15A9E,-15749,-159F6
1FB6,213B,1FF4
-15770,-1565E,-1577A
20EC,20B2,21A7
-158A7,-159D1,-15930
1E25,1ECF,1E33
-15AAF,-15BA3,-15C94
1D4F,2046,1EF6
-15AB2,-15A60,-158BF
1F77,1FBC,1E7E
-15AA3,-15B12,-15AC2
1DFD,20DB,1E34
-15AA7,-15B64,-15AA9
2128,205E,1FF3
-15936,-15AC0,-159C7
1F78,1F79,1F6E
-15A40,-15B4F,-15A2B
2156,20DE,22A1
-15902,-15978,-15911
1F38,1FE0,2111
-15927,-159A0,-1596B
1EF7,1F57,2275
-15986,-15BB1,-15BA0
1FF5,1E84,1DAA
-15AF1,-15B4C,-15C72
1E8E,1FC1,20AD
-15A0F,-15978,-15A4B
1EF6,1D06,1EC7
-15906,-1588D,-159CF
1F6F,1EEB,200A
-15D0C,-15A21,-15B7D
2056,1E8C,1E22
-1597C,-159EA,-15A0F
1F3C,1F59,2008
-15A64,-15B3A,-15A93
1EA7,207E,2087
-159F0,-15B7D,-15BCB
243C,264E,2550
-1535B,-1578A,-1559D
24CF,2399,2469
-155EC,-15625,-156AC
2402,2405,24C0
-155CA,-155C8,-156F4
2436,2406,25A1
-15409,-15489,-154B4
24A6,2766,254E
-154FC,-15883,-1571A
2446,2395,23C9
-156B2,-1558D,-154CF
2404,234F,2251
-1548C,-156C6,-154AA
22A4,2415,24AF
-1554C,-15548,-154C2
2610,23D7,2512
-1551D,-15705,-151E6
2500,22C6,253C
-1557C,-15669,-1580B
235B,2517,24D8
-15499,-153E0,-153F7
26FA,25B4,25D0
-152C5,-15420,-15256
247D,25C1,24FC
-15539,-15453,-15279
26F9,25E0,2773
-15250,-15352,-1519F
2738,27E4,279B
-15113,-15542,-15468
2557,2699,25E9
-1538E,-15298,-152F6
2391,237E,24CF
-155AD,-1555C,-15434
2559,240C,2679
-15381,-15499,-15401
2423,246E,2528
-154B1,-15535,-15684
25AB,24E8,24D1
-154CF,-153E5,-155F6
2533,2609,27F5
-1550F,-152CA,-15310
2432,24BF,25DC
-1549B,-15300,-15437
271C,25A6,25BA
-1546E,-15602,-15589
2689,26F3,257B
-15423,-155D6,-155AC
26AE,25C0,26AA
-15464,-154E0,-155B0
2376,24BC,23C9
-1537D,-155FF,-154B5
25D7,26B5,25EE
-155B4,-15606,-154E5
2573,262E,259C
-15408,-15367,-154DA
26CC,26A7,2787
-152D2,-151F6,-15311
279E,2793,2744
-1541F,-1526C,-1535D
2620,26B3,2670
-152D9,-1536B,-1528F
274F,275B,2750
-15254,-152AD,-1536C
2955,28E1,2890
-151E1,-1522C,-1517C
28B1,2746,27CB
-151F7,-14FCA,-15164
29BA,2850,2994
-15080,-150B6,-14FC9
28A5,28B3,286F
-153D9,-150A0,-14F8B
290B,2948,294D
-1520D,-151B7,-150E1
28F0,28DD,288A
-150B2,-1508E,-150FD
27FA,284A,29D1
-151C5,-151AB,-15331
27C7,2835,287E
-151ED,-152C1,-151FE
29CE,29C9,2A07
-15104,-1518C,-152EC
2920,289D,2825
-15021,-1505F,-15034
27F4,2762,2990
-152D6,-15167,-15405
275C,291E,290F
-150C7,-15273,-1516F
281D,2997,280E
-15086,-150A6,-15154
27AE,294F,2936
-15247,-152DF,-15224
2A82,2A53,29F9
-15209,-1520D,-1515D
2A0D,28CD,28F2
-150B6,-1513A,-150DD
28B2,2827,273B
-152D4,-150AD,-15186
26B5,28AB,27F0
-152C6,-1550D,-154AE
2912,2933,2696
-15335,-1536D,-1545A
2660,2743,26F3
-1547D,-15415,-15184
28DC,2851,2907
-15235,-1510E,-151C9
288C,2684,27BF
-15243,-151B9,-152DC
294B,274E,28C5
-15257,-153A8,-15328
29F5,296B,28C0
-14FD4,-150E6,-15068
29DD,2B60,2A42
-151AA,-14FD3,-1510E
26B6,28AA,27CF
-1519E,-150F3,-150E1
29B7,27F5,27DE
-150D3,-150EE,-15158
281D,27D9,2A36
-15044,-15198,-150D5
2756,288D,2A45
-152DA,-1519D,-15213
28AF,2A60,28DB
-1503F,-15094,-15074
278D,2908,28DC
-14FCC,-15083,-14E8C
28BE,2966,29C4
-150DB,-1507D,-1519B
1EED,208D,2182
-14CE2,-14CC4,-14D45
2DB6,2E27,2DCF
-14E33,-14CB9,-14C9B
2D97,2C9C,2D38
-14CCD,-14C56,-14CAC
2CBE,2D60,2F3D
-14B9A,-14C55,-14C21
305A,2FB9,3220
-14C4C,-14CF1,-14B26
2F35,2DEC,2E24
-14C01,-148B7,-14A6F
2E96,2DD2,2E61
-14B6A,-14BFC,-14A36
2D69,2F27,2F5E
-14B19,-14A56,-14B53
30F1,2FEC,2FC8
-14BDB,-14B95,-14C72
30FB,2E6C,2D10
-14C7D,-149B1,-14AAB
2F35,2DE2,2EC2
-14C5C,-14B16,-14C67
2EA6,302C,2FCD
-148D4,-14AA2,-14C10
32E0,2F92,2ED9
-1476D,-14AC7,-14B1B
305C,2DF3,2EB7
-14A67,-14A80,-14A3E
2D0D,2E8A,2F30
-14C3B,-14B3E,-14BFE
314F,30C1,306D
-149DA,-14C6F,-14AA1
2F04,2F30,2FD7
-14B78,-14B84,-14D52
2C9A,2F03,2F61
-14C35,-14AD5,-14D2B
2EE5,2FB1,2EB4
-14BAF,-14B3C,-14C0B
2C6A,2F2F,2E6C
-14C54,-14C84,-14DB2
2D99,2DF7,2DE6
-14CC7,-14DBD,-14D1A
2DFE,2EF3,2F44
-14C8C,-14C84,-14A25
2F78,2D50,2CD9
-14BE8,-14D2B,-14BD8
2D0D,2F19,2DF9
-14BDE,-14C3A,-14CAE
2EAA,2E7D,2E5B
-14EBF,-14D58,-14CA0
2AE3,2B94,2A54
-14C7E,-14C18,-14CF7
2B77,2DAB,2B58
-14DAF,-14B5E,-14CF5
2B9A,2D08,2D31
-14CCB,-14D71,-14DFF
2CE1,2E34,2ECD
-14C5E,-14A70,-14A02
2DBE,2FDA,2DFF
-14B66,-14CC1,-14BD1
2C60,2E75,2E25
-14CAA,-14BC6,-14B3B
2C9B,2E6C,2FE4
-14C39,-14DAA,-14AB3
3076,308E,3194
-14B77,-149E6,-149DE
2F70,3149,318E
-148DD,-149BD,-14B1A
2EE8,2FB8,30F7
-14B74,-149B0,-149B7
2F81,2F5F,3132
-1491F,-14A96,-14BFC
30EC,3034,3133
-149C0,-14AFB,-14968
2FE9,2EF6,31F0
-14861,-1492D,-148C0
3037,31E1,30B2
-149FA,-14725,-147A3
3232,327C,3215
-14736,-1479F,-149FA
3180,3228,3201
-149FE,-148EE,-1478C
302E,30D0,31DE
-148AC,-14992,-14778
31BE,326C,31EA
-1495A,-149B1,-14A1E
3258,3281,3178
-148C3,-14813,-148D1
304D,31A5,3099
-14828,-147A9,-1490E
3010,30E0,30FD
-1487D,-14955,-14869
32CC,3223,32BF
-14882,-14778,-147C0
32AB,339F,31F3
-14742,-148CE,-148B3
3154,3033,3214
-14A2D,-14AFC,-14C8A
2F28,2F3F,2EEC
-149C6,-149D8,-14C72
30B5,30BA,323E
-14A30,-14AB4,-14811
317C,3211,30C0
-14BAA,-14A89,-14A31
3027,313A,3017
-14A62,-14864,-14B54
3183,3022,2F43
-14A5A,-14862,-147C7
305F,3240,3138
-147E5,-14822,-147BF
32D1,3246,317B
-1483D,-148F5,-14840
3186,33DC,34A7
-1474B,-1474F,-14825
3149,325B,30B5
-1487F,-14992,-14714
3135,3088,2FAF
-14836,-14AC7,-149C4
33B0,3373,3147
-1481D,-1484C,-14A9D
323D,3109,3222
-14626,-1470C,-1474F
3323,3235,31D6
-14674,-1495C,-149B0
2FD8,32BB,32BA
-1484F,-14757,-147E3
31DC,32AC,3334
-146EA,-14827,-14757
233B,20AA,22D4
-14A94,-14879,-14B09
2DCC,304E,2FA9
-14959,-14956,-148E6
318A,328E,322E
-1489C,-14AF2,-148A1
320E,30AF,331E
-14A22,-14B21,-1496D
3177,30A9,337C
-1484D,-1464B,-1493B
30D2,32DE,31A5
-148C7,-14A04,-147BE
33A8,3216,332D
-1483D,-147C2,-14801
2F89,32B1,3215
-148E6,-1483A,-14A3F
33D3,329A,3478
-14972,-148F8,-148A6
3249,330B,3049
-1485F,-1479A,-1491D
31F4,31E0,311D
-14757,-14932,-148E1
326C,3181,337D
-14861,-14913,-149A1
3241,3231,321C
-14890,-14A61,-147C5
3374,302D,30D3
-14756,-1498C,-14A29
3100,2FF1,3054
-1493D,-14998,-147F3
30B8,318C,33B2
-14728,-145BD,-146D6
3013,31AC,3160
-1490A,-14771,-146EA
3193,3042,311C
-149E9,-149C0,-14B01
2FD1,2FF3,308B
-14736,-14924,-14921
3050,30CE,3030
-148A4,-14982,-14A6D
2F9E,31BE,3071
-1497A,-148F2,-148F2
2FCA,3337,2FA8
-14A46,-1483D,-148EE
3060,30E6,308A
-14805,-14848,-1490E
30AF,3062,3266
-14A2F,-14737,-14A66
31A7,3127,30D3
-14A1B,-14871,-148C9
30D1,308B,30C4
-147C7,-1482F,-149F7
32F1,3229,30BE
-14767,-148E2,-148AC
30C1,2FE9,3204
-14942,-148D2,-149E7
3339,31FD,3281
-14924,-14923,-14865
328D,31BF,3165
-1498B,-146D5,-148A7
3339,31AE,3360
-14597,-14795,-148BE
31E4,33B7,3186
-14851,-14783,-14889
34AF,3612,3672
-1449F,-143F3,-14568
3536,3326,3149
-1467D,-147DE,-1471D
332E,322D,32C8
-1463F,-14716,-14628
3311,3461,33B0
-14727,-145C3,-14624
3460,362C,348F
-146BA,-14692,-145B8
329B,356E,3637
-1439E,-14561,-14384
361D,35AC,3395
-14591,-14481,-146DD
3542,3487,33E1
-145C5,-1475C,-14752
3334,34D2,3461
-1467E,-146B2,-145ED
33D0,33A4,3400
-1470E,-145C8,-1484A
359A,3468,336E
-14449,-1455C,-1446B
3647,342A,34F6
-144F3,-14533,-14502
359D,354C,34C1
-1491E,-146A3,-14548
3284,33F4,3351
-14549,-1457C,-14587
3408,34B5,3288
-146D3,-1465B,-146A6
3512,3425,34F4
-1464F,-14613,-146EA
30EE,32C4,3412
-14801,-14546,-147B6
3346,31C0,3325
-148CB,-14731,-14887
3358,32EC,3264
-1464B,-14724,-14652
32F3,31F4,343D
-14595,-145B1,-14618
3519,3545,3516
-145F2,-1464B,-14823
340D,3515,3486
-14552,-146B8,-14607
328C,329C,3400
-147DD,-14799,-14667
3135,33F1,33BC
-144A6,-1453E,-145F2
34DE,345F,363E
-1456D,-14522,-14562
3462,3646,33F3
-14503,-1464B,-147BD
34DF,32B6,340D
-14660,-1465D,-1472A
329D,33BD,3307
-14735,-1459D,-14617
3281,33AD,3402
-1459D,-1459B,-14693
335D,3477,34C1
-143AF,-14530,-145B3
3513,36FD,358B
-14427,-14570,-144A9
36A7,3644,36E4
-142F4,-143E3,-14221
2E1E,2D3C,2F0E
-143A1,-14160,-13FFE
39C9,3A92,3968
-1417E,-1403F,-140CF
39B6,37B3,3A06
-13FB4,-141EA,-13FA6
397B,3993,39C8
-14049,-14138,-13F12
39D4,3BA7,3AB3
-13F17,-140CE,-141A0
3751,3982,3863
-13FED,-13FE9,-13EB7
3BDA,3AD1,3BB8
-13F18,-13D58,-13F6C
3C49,3D62,3AEE
-13F3A,-13EF9,-13E5A
3BE9,3B75,3B51
-14153,-13E1B,-14077
3A2C,39CE,39E9
-14046,-13F85,-140E9
39FB,3AF5,38AB
-14064,-13FCA,-14052
395E,3ACC,3B36
-1402C,-13F88,-14096
3AA2,38C9,3A19
-13FDC,-13E6C,-140D4
3B55,3B2D,3CBE
-13F82,-14083,-14072
3AAB,39D1,3AAE
-13EE1,-13E9C,-13FDF
39AC,38F6,3B7A
-13F93,-13F92,-13F3B
3797,3612,36F3
-14347,-14339,-141DA
37B8,37F3,37E2
-14142,-14339,-142F2
3627,390C,3537
-13FCE,-142B9,-14332
3712,383E,37D1
-14116,-1427F,-142E2
3816,3624,3869
-14303,-141A7,-14113
390E,36B6,373F
-1428B,-141B5,-141A7
3800,3662,37A9
-13FEF,-1413E,-140CE
39B0,375A,3A18
-14178,-141A2,-141CC
3872,36E1,39A6
-142B0,-1436F,-14212
3651,3822,370C
-1423E,-140F4,-1418D
3815,37DB,37A1
-14054,-142B8,-14127
37F2,38C4,390C
-141D7,-1402E,-14043
39A8,3743,3BBF
-14117,-14182,-142B6
368C,3637,369E
-1425B,-14138,-142B6
3691,3977,391E
-1415B,-1422E,-142CD
3906,3B0E,3842
-140CB,-13FBD,-14072
3D4F,3AB8,3BEC
-13F26,-13CF7,-13ED2
3A19,3AEE,3A04
-13EE5,-13E99,-13F9C
3938,3A20,3C05
-13EB2,-13F2E,-13DF9
3B66,3AEE,3BDE
-13D99,-13F46,-13F17
3A5D,3C7B,3AE4
-13E20,-13EB2,-13DA1
3B45,3B72,3B40
-13EE7,-13E08,-13D15
3C09,3BB9,3AFF
-13E9E,-13E30,-13DCC
3C33,3DB6,3D68
-13E09,-13E1C,-13BD4
3F36,3E52,3D6D
-13DE7,-13F65,-13C7B
3B30,39ED,3AA4
-13D23,-13E19,-13E2C
3A89,3CCC,3C6A
-13D2A,-13E80,-13E8A
3BE7,3A68,3AC7
-13EB1,-13F21,-13E9C
3B24,3A20,39DE
-13D7E,-13F55,-13F18
3C77,3A8B,3CC2
-13DEE,-13F68,-13FBE
3BC7,3A75,3B57
-13CE5,-13DF4,-13F32
3B4B,3BAD,3B9F
-13ED9,-13CAE,-13E2C
3AF0,3A33,392D
-13EC4,-13FB2,-140A6
3B96,3C6B,39A6
-140BD,-13FC2,-14188
39D3,3A79,3A78
-13FBA,-13F6D,-13ED6
396D,3A1C,3A5E
-1401E,-13F9B,-13E87
3ADA,3B5F,3A3C
-13DCC,-13D5C,-13F13
3B37,3B75,3C18
-13EDB,-14034,-13E90
3B96,3BF6,3A58
-1403E,-13D41,-13F93
3A2E,3AF6,3ACC
-13E31,-13F74,-13E97
3AD9,3AF2,3B23
-13FCA,-13FB4,-140E5
3AC0,3A85,39C4
-1413E,-13FBE,-13DEB
3BA5,3B95,3B61
-13E4D,-13ED1,-13F2E
39CA,3C50,3B0B
-13F4E,-13EAD,-13FCE
3A59,3A6E,3B74
-13F38,-13F43,-13E30
38BC,39DA,39F7
-13FCC,-13FAC,-14000
39DE,3CBB,3C2F
-13DFC,-13EBA,-140CF
3DC7,3AE2,3D3A
-13C97,-13D5D,-13E61
4B7A,4A47,46B6
-16D51,-16DFA,-16F23
C08,C45,DCE
-16D0E,-16E93,-16D9D
BE8,EA9,D8D
-16C5F,-16D75,-16EB6
DE3,BE2,EDD
-16CD0,-16CD2,-16E7B
BDB,E28,EE1
-16D60,-16C06,-16D53
B68,C98,D5C
-16EF8,-16EE5,-16D9B
D14,C60,E7C
-16CA9,-16B41,-16C2C
DDB,F2B,E64
-16B95,-16E8D,-16FA9
E2F,E7A,E5D
-16CC1,-16BBF,-16BA2
C86,D25,C3A
-16E78,-16C9F,-16D14
EC1,F73,FB5
-16A6E,-16CB7,-16A54
D20,FF0,F69
-16B32,-16C35,-16B38
1036,110D,E44
-169F9,-168C8,-16B08
DFE,F0A,104D
-1695C,-16B27,-16BDB
F3D,FCF,F8F
-16A98,-16B17,-16B67
EAB,E9E,1124
