{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
22FA0F,22F9B0,22FC38
21802A,218035,218020
22FC4A,22F978,22FA20
218107,21814F,21800A
22F85E,22F8B3,22F920
217DB7,217F41,217F0C
22F90C,22F92C,22FBBF
2181C2,217F0E,218082
22F847,22F947,22F8CB
217FF2,217ED2,217E6D
22F7A3,22F6C9,22F833
217DC2,217D62,217EE2
22F95D,22FAC7,22F78F
217DE9,217C2F,217EFA
22F6FD,22F833,22F88A
217F09,217F25,217C5F
22F713,22F91B,22F788
217D6B,217D25,217E11
22F81C,22F904,22F82A
217EBA,217D31,217BA9
22F8BB,22F818,22F8B7
21801A,217F55,217ED6
22F7EF,22F89F,22F923
217B4C,217BA5,217B2D
22F5F6,22F5BA,22F51A
217B7A,217A7D,217C68
22F58E,22F549,22F557
217C2E,217ABA,217B23
22F62D,22F630,22F70D
217B7C,217B71,217B16
22F532,22F7A7,22F551
217B0B,217BFA,217DB5
22F704,22F478,22F4F8
217B9C,217ABB,217D3D
22F785,22F665,22F4CB
217A9B,217AC7,217CA1
22F56F,22F688,22F53A
217CA0,217B8A,217BF7
22F727,22F569,22F5A8
217C0A,21798E,217A39
22F58B,22F59C,22F6B5
217C60,217B5C,217C53
22F39B,22F5DF,22F582
2179E2,217AA4,217A2A
22F4AD,22F51D,22F362
217A69,217A97,217AE3
22F525,22F4DB,22F412
217A75,217AFE,217AEE
22F51D,22F4CF,22F4AB
217872,2178FB,217937
22F4CD,22F458,22F53B
217972,217AB5,217A86
22F556,22F5F0,22F551
2179C6,21796F,217A64
22F3C3,22F5AB,22F430
217B92,217CE5,217BB0
22F61D,22F832,22F56F
217C80,217B9E,217B83
22F59E,22F666,22F649
217D5C,217BD1,217B56
22F632,22F724,22F73D
217CDD,2179E3,217D6A
22F7AD,22F6BF,22F78A
217E1C,217BB2,217CED
22F679,22F71E,22F604
217B30,217B3E,217C0F
22F506,22F656,22F7A3
217BF6,217C14,217BC3
22F6A0,22F4A3,22F4CA
217A06,2179B5,217B26
22F819,22F559,22F5EF
217BAD,217BA6,217C80
22F4BE,22F529,22F5B2
217A87,217AE2,217C21
22F655,22F48C,22F36B
217BF4,217946,21790C
22F39C,22F571,22F580
217C3A,217A7D,217A5D
22F455,22F584,22F5FF
217A18,217A8D,217ADB
22F5FF,22F4C9,22F576
217B4F,217B67,217A52
22F580,22F48B,22F2CD
21798F,217AE2,217B04
22F339,22F561,22F53E
2179A5,217A41,217A12
22E9B8,22EA77,22EA08
217FB4,217E48,217E63
22F9EC,22F95C,22FA22
217E56,217EAF,217EB1
22F826,22F9A8,22F938
217CEF,217EC8,217DE0
22F6F7,22F826,22F818
217D28,217E69,217EA7
22F9A3,22F9EE,22F8EF
217E27,217D52,217D67
22F7C6,22F8B1,22F711
217C00,217DCD,217F55
22F7E5,22FA42,22F611
217D40,217B36,217ABF
22F530,22F5F5,22F53F
217CFE,217AC2,217BA1
22F778,22F6D0,22F828
217CBA,217AF1,217B49
22F732,22F619,22F56F
217D79,217C28,217C11
22F5BF,22F6E8,22F5E6
217BD4,217D62,217AEB
22F61E,22F511,22F51C
217BA0,2179E3,217BFA
22F4B7,22F5A4,22F66F
217C89,217B19,217AE9
22F4F5,22F456,22F5AE
21798F,217CA0,217C80
22F5D0,22F518,22F5F7
217A13,217A42,217C11
22F543,22F427,22F3C4
217C24,217B3C,217BAF
22F65B,22F54B,22F465
217D34,217D66,217B52
22F71F,22F7C2,22F7F9
217E1D,217D19,217DE8
22F7B5,22F924,22F7DF
217C35,217CCF,217BF9
22F6AC,22F775,22F6ED
217E4B,217D9F,217C64
22F794,22F87D,22F7FB
217E49,217DC7,217C82
22F680,22F5AB,22F674
217D1C,217C57,217B61
22F521,22F7BC,22F6E4
217CD8,217B80,217B56
22F636,22F3B4,22F54F
217B5A,217AE9,217CCF
22F72E,22F7FE,22F8C1
217C49,217B1A,217AEA
22F634,22F539,22F5D2
217BDB,217ADC,217BC7
22F54F,22F52B,22F43C
217BA5,217B14,217AB8
22F434,22F3EC,22F361
217AA6,2179CF,217A2E
22F470,22F49D,22F68A
217B5F,217947,217A9C
22F3EA,22F496,22F4A0
217A2A,21787F,217AC2
22F673,22F3A0,22F5E8
217BC0,217BCC,217B61
22F470,22F525,22F3A8
2179AC,21789A,2179C0
22F3FF,22F3DF,22F56B
21789A,217871,217997
22F136,22F278,22F3ED
2178E2,21785D,2177AB
22F2DD,22F54C,22F519
2178E2,217821,2177CB
22F168,22F0AD,22F152
21765F,21797D,217883
22F385,22F3E0,22F484
21783C,21789E,2176F3
22F0C7,22F17C,22F3C3
217660,2176DE,217872
22F243,22F30B,22F29B
2176C8,2177EF,217794
22F13C,22F16C,22F13B
217872,217842,2177A9
22F3DF,22F19F,22F1E7
2177C6,217696,21775D
22F13B,22F119,22F37E
21767C,217753,21778E
22F1A6,22F1D4,22F14F
217529,21755F,217789
22F169,22F111,22F107
2173E4,2177D2,217718
22F389,22F1F1,22F12A
21785A,21782B,217881
22F2E2,22F1F4,22F218
21784A,21782C,217826
