{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1BBE6,-1BB04,-1B87E
-33303,-33440,-334A4
-1BAA0,-1BB90,-1B9BB
-33369,-334DE,-335A0
-1BA67,-1BA4B,-1BADC
-334D9,-33544,-3361A
-1B82B,-1B999,-1BB37
-33439,-3349C,-333CA
-1BAE1,-1BCD7,-1BB25
-333F3,-33509,-335B6
-1B9C5,-1B9B0,-1B849
-33612,-333AB,-333E6
-1B976,-1B757,-1B7CB
-333C1,-333CD,-33521
-1B99F,-1B99F,-1B94B
-333D3,-334E3,-33450
-1B8DD,-1B9DB,-1BAC7
-332DF,-3362C,-3350C
-1BB36,-1B95F,-1BACF
-3341A,-3345A,-334A8
-1B844,-1B878,-1B994
-33194,-331E7,-33311
-1B8FF,-1B8F2,-1B9C9
-333DB,-335C0,-33387
-1B929,-1B871,-1B7AD
-33485,-333B7,-333F6
-1BC1B,-1B9E5,-1BA9A
-3323D,-3332E,-333B2
-1B993,-1B960,-1B88D
-332D8,-33232,-33303
-1B83D,-1B8C3,-1B8BD
-332BA,-332F1,-33083
-1B7E8,-1B66C,-1B812
-3335E,-332EC,-333CB
-1B6DA,-1B79D,-1B78B
-32F8E,-3309A,-33092
-1B7A4,-1B67F,-1B644
-32F68,-32F57,-3307D
-1B8C1,-1B6F0,-1B821
-330FE,-3300A,-33300
-1B6F1,-1B51A,-1B5BA
-331A9,-33196,-330F1
-1B745,-1B446,-1B7F3
-33051,-33130,-331FD
-1B593,-1B6AC,-1B628
-33059,-3320B,-33000
-1B654,-1B651,-1B863
-330A0,-32F19,-33154
-1B710,-1B5FC,-1B720
-3317C,-33034,-32FDC
-1B601,-1B5E8,-1B6FE
-330B7,-330A0,-33210
-1B634,-1B652,-1B523
-32F6B,-3313B,-32FA3
-1B774,-1B6C7,-1B675
-332F8,-330E7,-331FC
-1B6DB,-1B5B8,-1B649
-330E7,-331AA,-33222
-1B6F6,-1B770,-1B72F
-33100,-32F4C,-32FB8
-1D29C,-1D184,-1D0D9
-32ED6,-32F49,-3300C
-1B2E9,-1B512,-1B5EE
-32DFA,-32F7D,-32DB7
-1B50A,-1B5B8,-1B4A3
-3309F,-32FEE,-32EAF
-1B4F8,-1B614,-1B5F8
-33123,-3308F,-32E49
-1B3B1,-1B540,-1B462
-33007,-3302F,-32DCA
-1B658,-1B4F0,-1B2F6
-33028,-33009,-32DC9
-1B4EE,-1B486,-1B5DE
-330B6,-32E55,-32E8E
-1B25F,-1B309,-1B423
