{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1455BD,145612,1456F3
12DBE2,12DB9B,12DBAE
14583E,1456B3,1454E4
12DD4C,12DC65,12DD0A
145687,14574F,145787
12DC3E,12DBF4,12DE48
1459D3,1456CE,14552E
12DD3E,12DEF6,12DE83
1458B4,1457FC,1458D1
12DE2B,12DB96,12DED0
14587C,145850,14588D
12DE28,12DD82,12DDE6
1458E0,145776,145909
12DE20,12DE45,12DEEA
1458D3,145786,1457AD
12DDB8,12DFDC,12DDCA
1457A4,145746,1459CC
12DD09,12DDEC,12DD16
145793,145946,1458F7
12DD9A,12DD06,12DE63
145844,14572E,1457ED
12DE31,12DE2F,12DE6A
1455F9,145886,145A09
12DE40,12DEB3,12DE87
1459A4,145A77,14578D
12DDC7,12DECF,12DCD2
14593B,145916,145899
12DE15,12DE9C,12DC95
14590F,14588C,145946
12DCEB,12DC89,12DDC4
1458BF,1458ED,145894
12DF13,12DF87,12DCBC
145882,14587A,14599B
12E04B,12DE4E,12DF95
145A16,145A9B,145A5C
12DF4B,12DEEE,12DED8
145A23,145986,14591A
12DD41,12DC93,12DE8A
144B9C,144B9E,144AB3
12DE8D,12DE06,12DFC1
145BB0,1458E3,1458A2
12DDBE,12DFB8,12DFFA
145A47,145966,1459D9
12DEBE,12DF3E,12DFA9
1459D8,1458AD,145AC6
12DED2,12DE70,12DEEA
145A3C,145958,1459B3
12DE18,12DED5,12DF77
145841,145A44,145B31
12DFA5,12DF80,12DFCA
145974,145AE6,145AC2
12DDD8,12DE2B,12DFF9
1459D3,145A20,145B20
12E0D5,12DEFB,12DFAA
1458C8,145BAD,145BDA
12E079,12E03D,12E0D3
145A24,145994,1459CC
12E0CC,12E041,12DF9B
145936,1459F7,145B89
12DF99,12E113,12E1DE
145BF7,145A85,145A87
12DF3C,12E144,12E151
145B14,145A7D,145B0E
12E0CE,12E21C,12DFC7
145C29,145D02,145C1E
12E12F,12E0ED,12E1CD
145D0B,145BE6,145AFE
12E127,12DF33,12E20F
145D10,145A73,145B28
12E112,12E364,12DFE4
145A3B,145ADF,145A03
12E28B,12E359,12E11E
145E26,145D36,145D60
12E1F7,12E279,12E278
