{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-BA5F6,-BA68F,-BA789
-D1307,-D123B,-D116C
-B98B0,-B97E1,-B993F
-D1031,-D11E5,-D1120
-B985E,-B9740,-B9728
-D1194,-D12D9,-D11AF
-B9627,-B95F8,-B96F2
-D1249,-D11D8,-D116A
-B974A,-B9653,-B96EC
-D11E3,-D119F,-D12F9
-B9906,-B96D2,-B97C4
-D1210,-D12C3,-D12E9
-B98E8,-B98A4,-B9680
-D1351,-D12B5,-D1252
-B96C8,-B978C,-B97D1
-D1226,-D1321,-D13FB
-B9756,-B9690,-B9806
-D10AC,-D124D,-D12A3
-B95EB,-B9735,-B96F1
-D118F,-D10EE,-D1089
-B96D0,-B96F6,-B9669
-D1043,-D11E0,-D1241
-B95B7,-B94C0,-B969A
-D10BB,-D1114,-D1191
-B944F,-B95B9,-B9446
-D112F,-D110F,-D10E1
-B9479,-B95C3,-B9492
-D1126,-D11C1,-D1172
-B970F,-B9555,-B957D
-D10E3,-D0EE3,-D1144
-B95FC,-B95ED,-B959C
-D0F77,-D1096,-D0F1C
-B9506,-B96CC,-B957C
-D0F2B,-D0EB4,-D0EED
-B9466,-B945C,-B943A
-D0E6F,-D0D43,-D0E69
-B9503,-B93AB,-B96B9
-D10AD,-D0F2B,-D0F88
-B94EA,-B934B,-B933E
-D0FC5,-D0DB5,-D0DF6
-B9349,-B93AE,-B92F6
-D0E6E,-D0DDB,-D0F64
-B9547,-B939D,-B935C
-D0DA6,-D0CA6,-D0E14
-B9367,-B93F6,-B92F2
-D0EF1,-D0DBC,-D0EA5
-B93A5,-B9425,-B92AE
-D0F92,-D0DF6,-D0CA7
-B93AE,-B943E,-B936A
-D0F10,-D0C6C,-D0D70
-B953F,-B922A,-B9447
-D0C82,-D0D6A,-D0CF2
-B920F,-B9336,-B93A0
-D0D56,-D0DB4,-D0CF7
-B92F8,-B949C,-B93F7
-D0EA6,-D0E41,-D0D89
-B9224,-B9357,-B9325
-D0EA7,-D0BAE,-D0B44
-B9321,-B93DD,-B924F
-D0EAF,-D0D78,-D0DE0
-B9255,-B9384,-B91D6
-D0F14,-D0F69,-D0ED8
-B93C7,-B92E0,-B9369
-D0EBB,-D0EAE,-D0FF3
-B92D3,-B93DC,-B92CC
-D10EB,-D0FBA,-D11A8
-B94DF,-B9404,-B94BE
-D104C,-D108C,-D103E
-B94D2,-B958B,-B9579
-D0EDD,-D1167,-D1145
-B9531,-B95D8,-B96DE
-D1034,-D106D,-D101F
-B95B9,-B973E,-B9544
-D0F7A,-D120F,-D105E
-B9332,-B951D,-B95F6
-D0E76,-D0E18,-D0ED8
-B951E,-B9507,-B9644
-D0FA6,-D0DFF,-D10C3
-B9478,-B9372,-B9500
-D0DF2,-D0F04,-D1017
-B9431,-B9209,-B91A1
-D0F34,-D0EB2,-D1007
-B93B9,-B941E,-B9461
-D0E61,-D0E1B,-D0F2F
-B931C,-B95A2,-B93AA
-D0E72,-D104F,-D0DC8
-B9435,-B944A,-B92C1
-D0C9F,-D0E1E,-D0D8D
-B93FE,-B9412,-B93E0
-D0F0C,-D0C68,-D0C2C
-B92F5,-B9246,-B933D
-D0F79,-D0D43,-D0F87
-B9454,-B9411,-B9503
