{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10D2EE,-10D1F2,-10D477
-F5A1F,-F5882,-F5ADA
-10D2D3,-10D2F1,-10D3ED
-F578B,-F5741,-F589E
-10D599,-10D549,-10D2F2
-F5A4D,-F59D7,-F5971
-10D3E0,-10D44B,-10D578
-F59CB,-F5AFF,-F5927
-10D356,-10D3D0,-10D4A6
-F5A56,-F58EC,-F5AA6
-10D2A8,-10D43A,-10D379
-F5911,-F5A8F,-F5A47
-10D4E6,-10D600,-10D4B3
-F5A3B,-F5B37,-F592F
-10D471,-10D616,-10D547
-F5E96,-F5F1E,-F5E62
-10CDD3,-10CF66,-10CDB1
-F5649,-F5590,-F543A
-10CEC4,-10CE79,-10CEA1
-F556A,-F532E,-F529E
-10CF92,-10CEF5,-10D075
-F5588,-F554E,-F5642
-10D08D,-10D1EB,-10D011
-F55C0,-F5509,-F557F
-10CEF1,-10D085,-10CEBA
-F5563,-F5504,-F554C
-10D0F9,-10D01B,-10CF2E
-F53EE,-F5416,-F552E
-10CF92,-10CFA6,-10D081
-F566B,-F55C0,-F56B4
-10D12B,-10D315,-10D044
-F54CE,-F5457,-F545B
-10CEDC,-10D171,-10CF85
-F5630,-F566C,-F56EC
-10CF99,-10CD97,-10D0F7
-F5541,-F5478,-F524F
-10CF3E,-10CF7F,-10D009
-F551E,-F562F,-F556D
-10D088,-10D15B,-10D14D
-F56A9,-F562E,-F560D
-10D11A,-10D0BC,-10D192
-F5622,-F557A,-F5533
-10D1C1,-10CF24,-10D11C
-F57E5,-F5796,-F55EA
-10CF51,-10D15C,-10D0D5
-F5852,-F56CD,-F5741
-10D384,-10D0DD,-10D173
-F54BA,-F5455,-F54F7
-10CEE8,-10CEF6,-10D006
-F5584,-F537E,-F5655
-10CFC0,-10CF92,-10D131
-F5751,-F56B9,-F5477
-10CD1D,-10D002,-10CDC7
-F571A,-F558C,-F5609
-10D06E,-10D0CA,-10CF6A
-F554A,-F56BC,-F5782
-10CFAB,-10CFB6,-10D126
-F5692,-F55F1,-F55E3
