{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E7D17,-1E7DE7,-1E7E36
-1FF68D,-1FF7E1,-1FF818
-1E7CFD,-1E7D21,-1E7E4A
-1FF790,-1FF70D,-1FF79B
-1E7D46,-1E7CB3,-1E7B8E
-1FF74F,-1FF6CE,-1FF754
-1E7BAB,-1E7CD2,-1E7D94
-1FFA8C,-1FF7AE,-1FF930
-1E7E5C,-1E7DC6,-1E7DE4
-1FF95E,-1FF693,-1FF6E6
-1E7DC0,-1E7DE0,-1E7E23
-1FFA06,-1FF795,-1FF893
-1E7CA1,-1E7C18,-1E7D2A
-1FF844,-1FF856,-1FF7CB
-1E7F48,-1E7D6B,-1E7D54
-1FF6DB,-1FF7B1,-1FF72E
-1E7CCA,-1E7C99,-1E7BFC
-1FF674,-1FF823,-1FF77E
-1E7E91,-1E7F15,-1E7D07
-1FF977,-1FF7BD,-1FF68F
-1E7C22,-1E7E4F,-1E7D12
-1FF84E,-1FF7AD,-1FF9A2
-1E7E23,-1E7F4C,-1E801E
-1FF9F7,-1FFA15,-1FF902
-1E7EBB,-1E7EDA,-1E7FFF
-1FFA9E,-1FFBBC,-1FF8C3
-1E7F1D,-1E7D16,-1E7EEC
-1FF85A,-1FF915,-1FFAEB
-1E7F58,-1E7EE4,-1E7F02
-1FF848,-1FF9D3,-1FF861
-1E7D4F,-1E7D6C,-1E7D84
-1FF8EB,-1FF7E3,-1FF7FD
-1E7E0E,-1E7DF6,-1E7E8E
-1FF8F0,-1FF6C5,-1FF719
-1E7D2F,-1E7E2C,-1E7F72
-1FF7E6,-1FF859,-1FFA89
-1E7EE1,-1E8013,-1E7E6E
-1FF85F,-1FF917,-1FF7D8
-1E7C34,-1E7E47,-1E7CB1
-1FF879,-1FF9F8,-1FF9AF
-1E7F20,-1E7E90,-1E7ED6
-1FF810,-1FF961,-1FF7AF
-1E7DB2,-1E7E46,-1E7DCA
-1FF78B,-1FF840,-1FF6FD
-1E7DB4,-1E7F23,-1E7DFF
-1FF7AB,-1FF9B6,-1FF7AE
-1E7EFC,-1E7E35,-1E7E13
-1FF692,-1FF833,-1FF7D1
-1E7DC9,-1E7F28,-1E7D6D
-1FF884,-1FF738,-1FF7E5
