{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10DACD,10DA7E,10DC0F
F614B,F6095,F611A
10DA6F,10DBB0,10DBA2
F61DD,F610F,F6014
10DA74,10DB8E,10DB1F
F6081,F5F50,F60C3
10DA55,10DB10,10D898
F6019,F5EDA,F5F1F
10D7AE,10D8A3,10DA38
F6048,F5F45,F6029
10D9C7,10D921,10DC39
F5FE0,F6070,F6001
10D99C,10D894,10DC2A
F6240,F5E81,F605B
10DA6A,10DBA1,10DB6D
F5F32,F5E03,F5DE7
10D9D6,10D88E,10DC10
F6019,F5F33,F5E19
10DAB8,10DB79,10D916
F5DD1,F5C8B,F5E5D
10D81C,10D8D5,10D72E
F5E3E,F5D67,F5BDC
10D9FB,10D9AE,10D922
F5E49,F5E9D,F5D30
10D780,10D8DF,10DA18
F5E1B,F5E8C,F5D9F
10D972,10D74F,10D96C
F5F52,F5CE3,F5E04
10D7EE,10D637,10D6A9
F5C5B,F596E,F5C7D
10D84E,10D698,10D81E
F6009,F5F05,F5F30
10D973,10D99A,10DAD7
F5EB4,F5F01,F5EAB
10D8CB,10D94B,10D8DA
F5DFA,F5E87,F5E0D
10D8E6,10D7D9,10D9E5
F5EB8,F5E46,F5E28
10D883,10D8B8,10D8A6
F5F03,F5DE2,F5D12
10D864,10D905,10D8D4
F5DA1,F609E,F5CA6
10D795,10D748,10D907
F5F0D,F5C17,F5CFC
10D692,10D834,10D844
