{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1A3E9D,-1A3ED4,-1A404F
-18C451,-18C54B,-18C4AF
-1A3F1C,-1A3F57,-1A3F02
-18C465,-18C599,-18C493
-1A3F91,-1A3F68,-1A3F1F
-18C610,-18C3A2,-18C4F1
-1A3FBC,-1A40DD,-1A3FBB
-18C3DC,-18C5C1,-18C54E
-1A3F76,-1A4032,-1A3F71
-18C5D7,-18C3D9,-18C609
-1A3F47,-1A3F46,-1A4095
-18C6F7,-18C764,-18C7D7
-1A403C,-1A4205,-1A430F
-18C59B,-18C737,-18C5A0
-1A41D1,-1A4023,-1A41F3
-18C4D2,-18C4D0,-18C637
-1A4048,-1A40EA,-1A3FED
-18C558,-18C7D1,-18C450
-1A40A7,-1A40FF,-1A423E
-18C66B,-18C54E,-18C534
-1A3F3F,-1A4298,-1A3FBF
-18C57E,-18C5D4,-18C3BB
-1A4073,-1A3EDB,-1A40D2
-18C5B6,-18C499,-18C5DF
-1A42ED,-1A4078,-1A40B2
-18C513,-18C678,-18C610
-1A3FDA,-1A40ED,-1A426E
-18C659,-18C41E,-18C542
-1A41C6,-1A4288,-1A41A5
-18C5B9,-18C586,-18C4D4
-1A41C6,-1A4125,-1A40F5
-18C7CB,-18C535,-18C7A1
-1A41F5,-1A412C,-1A4180
-18C696,-18C77F,-18C787
-1A41A2,-1A4324,-1A4273
-18C833,-18C5E6,-18C69C
-1A3FFF,-1A404E,-1A414A
-18C622,-18C832,-18C836
-1A3FBC,-1A4231,-1A4104
-18C69E,-18C704,-18C6BA
-1A413C,-1A4054,-1A41CC
-18C69D,-18C823,-18C6BB
-1A40A1,-1A41B8,-1A4079
-18CFD6,-18D005,-18D11E
-1A3DC5,-1A3E85,-1A3C2B
-18C39B,-18C232,-18C476
-1A3D2C,-1A3DDB,-1A3D62
-18C3FC,-18C3A7,-18C4CA
-1A3CC1,-1A3D57,-1A3CD6
-18C355,-18C2F7,-18C427
-1A3E50,-1A3C91,-1A3C9B
-18C267,-18C415,-18C357
-1A3C6E,-1A3D87,-1A3BC3
-18C345,-18C2CA,-18C2AB
-1A3C06,-1A3B53,-1A3E20
-18C3F6,-18C305,-18C420
-1A3CF3,-1A3D00,-1A3D84
-18C3F9,-18C23F,-18C2B9
-1A3E1A,-1A3D83,-1A3E24
-18C36D,-18C3FB,-18C2FE
-1A3E54,-1A4072,-1A3E47
-18C544,-18C33A,-18C42F
-1A3D4E,-1A3EFC,-1A3E05
-18C428,-18C2CC,-18C480
-1A3D62,-1A3D95,-1A4076
-18C4B1,-18C483,-18C36F
-1A4069,-1A4015,-1A3F97
-18C43A,-18C47D,-18C421
-1A3E74,-1A3DA6,-1A3EC7
-18C41F,-18C462,-18C5CA
