{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-508A9,-50663,-507D4
-6821E,-680B1,-6823B
-50613,-507F4,-506E0
-68222,-68165,-68077
-507E9,-507FA,-50732
-68301,-68417,-6832A
-507C1,-50746,-507C5
-682BA,-6814F,-6849A
-507DD,-506DF,-50755
-681C4,-6805B,-68006
-508BD,-506E6,-50948
-681E3,-6825E,-681A9
-508FD,-507FA,-50924
-6805A,-682C6,-680C8
-5093A,-507F4,-5070A
-681B3,-681CC,-680F3
-50738,-5068B,-5077C
-68094,-6812B,-68180
-507CD,-50823,-50630
-68156,-6832C,-68005
-5063D,-506D9,-50660
-680FD,-6836D,-68176
-505D7,-506C8,-50738
-68127,-68142,-68208
-506EC,-5065E,-50715
-6808D,-681C0,-680FA
-50902,-509E2,-50680
-681C8,-681BD,-68087
-5077C,-506E8,-507FF
-67FD5,-680C5,-6821F
-50657,-5057E,-5068E
-68118,-6809F,-68216
-5075F,-50605,-50703
-68033,-681AB,-6822D
-50845,-50511,-505E7
-68160,-68112,-6813B
-50750,-50875,-507D6
-680FB,-680F2,-68032
-506D1,-5063D,-506AF
-68009,-68177,-68174
-50666,-504A0,-505DB
-67FD5,-681A6,-68215
-50543,-504A9,-50611
-6812F,-68151,-67FC0
-504A9,-506AF,-5044E
-67F35,-680FA,-68189
-507AD,-506D7,-50763
-6810B,-680DF,-68161
-50784,-5051A,-50497
-6813D,-682D7,-6824F
-50603,-50744,-506D8
-68113,-68042,-6821C
-503F6,-504F1,-50610
-67F0E,-67F15,-67EF3
-50602,-50453,-505B5
-67EF2,-6811A,-67ECA
-5069D,-50538,-50497
-67EBF,-68003,-67FC9
-5050F,-506A8,-50649
-680C7,-68115,-68009
-50649,-505B7,-505D5
-67EA9,-680C5,-680FA
-5047D,-506CF,-503B2
-68048,-68067,-67F01
-50699,-506B8,-504DF
-68208,-67FC9,-67E18
-504EB,-50525,-50623
-68065,-6806C,-68046
-50607,-50593,-50748
-67F35,-67E96,-68019
-505A1,-506B9,-50624
-67DDB,-68068,-67F48
-50331,-5055A,-5062E
-67F92,-67ED8,-67EC7
-5051D,-5049E,-504BD
-67E3F,-67FD4,-67D9A
-5065E,-50415,-5040E
-67FF9,-681FA,-68090
-50512,-5047A,-50569
