{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
32168,321B0,32235
1A671,1A720,1A7BE
31EB6,31F34,32003
1A50D,1A362,1A472
32053,31E1B,31DE5
1A3D6,1A4DA,1A47C
32096,3209A,320E8
1A594,1A528,1A482
31F6B,31FEA,31FAC
1A616,1A682,1A6BF
32109,32304,32042
1A5DE,1A6EF,1A64E
320AF,32160,31F38
1A644,1A56B,1A556
32199,32027,31F12
1A67B,1A66B,1A7CF
31FD5,32010,31F59
1A4DC,1A53F,1A5E5
3222D,31F92,320C8
1A63B,1A6E5,1A46F
31D37,31FE0,31F21
1A43B,1A389,1A570
31F6E,320A9,31F64
1A63F,1A470,1A3D2
31EBE,31EEF,31FF8
1A512,1A495,1A525
31FAE,320A0,31E32
1A6E5,1A466,1A70E
32103,3205A,3214B
1A466,1A5DF,1A588
320E1,3210E,32083
1A73D,1A676,1A626
321C6,32157,32154
1A583,1A613,1A78A
323C5,3222D,3236D
1A95F,1AAA7,1A7F5
32392,322EA,3216B
1A87F,1ABAA,1A88F
322B9,32355,323AC
1A920,1A7A0,1A8A4
3234A,32418,323DF
1A85D,1AA2A,1A75E
321D5,3237C,32353
1A996,1A7F3,1A9A7
32465,3242B,323B1
1A90D,1A97C,1A8E0
32503,3232B,32429
1AA2E,1A72B,1A814
321D6,32384,3223E
1A74A,1A7F8,1A7E4
32387,325BB,324F5
1A83D,1A9DB,1A7BA
3231A,322BC,320A7
1A75C,1A7A3,1A885
3221F,3220C,32251
1A97B,1A839,1A660
3228C,3217D,32389
1A84E,1A941,1A925
321DF,3232F,32265
1A93F,1AA0F,1A8C4
3235F,322E0,32371
1A8F7,1AAD3,1A938
322CF,32322,32435
1A8B7,1A835,1A7AB
32331,32353,32372
1A946,1A789,1A854
3212F,321B2,321FB
1A6C2,1A574,1A842
32165,32100,31FF3
1A6D9,1A699,1A6EA
3221D,3212D,32178
1A66D,1A5FB,1A74B
320AC,321BF,31E77
1A53A,1A4F6,1A6AC
32293,3203F,32195
1A868,1A7A2,1A5DF
32119,32013,3220A
1A5F8,1A642,1A62F
3212C,321B4,320BA
1A7FE,1A730,1A755
31E1B,32296,32096
1A7BA,1A904,1A730
3230C,322BA,321C9
1A6F0,1A657,1A72C
320D4,3203A,31E54
1A74C,1A8D5,1A807
3229F,3223A,322E7
1A80E,1A7B2,1A8A2
321EC,32340,321EC
1A8CE,1A874,1A580
32190,3223E,321E0
1A6C5,1A8B8,1A854
321D8,321ED,3217A
1A781,1A7BD,1A8C7
32148,32295,32198
1A863,1A845,1A8BE
322D2,32347,32225
1A82C,1A6EA,1A800
3121B,31002,31069
1A84A,1A62D,1A71E
32021,31FD7,32051
1A632,1A87C,1A7A6
31EE5,32042,32023
1A5F3,1A502,1A7C5
32042,32295,3219E
1A70D,1A724,1A5F2
32153,3228E,321B3
1A873,1A6F0,1A93E
3208F,320C9,32261
1A6C2,1A68B,1A73E
320AE,32146,321F5
1A7AC,1A865,1A895
3200A,320E3,32255
1A766,1A6A5,1A749
322A8,32212,32469
1A776,1A6AC,1A686
32100,3213F,32049
1A6D4,1A612,1A6C5
322FD,3226A,31F7D
1A5D7,1A440,1A61E
32185,3212C,320F3
1A73A,1A755,1A611
32245,320EB,3229C
1A8FE,1A936,1A859
