{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12F0C4,12EF0F,12F06D
146843,1469E6,146B01
12EF99,12F07E,12F088
146A37,146816,146A16
12EF2B,12F09A,12F099
1469CB,146A2A,146AF5
12F09C,12F028,12F0C7
146978,146A84,146AE2
12F1ED,12F25A,12F0B8
146AAA,146B43,146B01
12EF39,12EF9C,12F126
146A74,146B35,146A46
12F062,12F025,12F067
1468F9,1468D8,146AC2
12EF68,12F046,12F204
146A45,146AA6,146B3E
12F0E9,12F007,12F0F7
145745,145700,14564B
12EDD5,12F01C,12EED3
1467E9,14673D,1468A8
12EF01,12ED2F,12EEAA
14682E,146748,1469DC
12EF06,12EDEE,12EF02
14686F,1467C0,146A23
12EE0E,12EF26,12EE46
1468DB,146B43,146A45
12EF95,12F061,12EFEA
146A5D,1468EA,14699E
12EE0E,12EF7A,12EF93
1468E0,1469AA,14693D
12F16A,12EDF3,12EE78
146834,14689E,1468EF
12EEB6,12EF3F,12F0BA
146A8E,146B85,1469D6
12EE91,12EFE6,12F0A4
1468D0,146B3A,1469B0
12F003,12EFF2,12EE07
14693A,146A90,1469C2
12ECC8,12EF18,12EEDB
14692E,14691C,146850
12F0B4,12EEDE,12F010
146933,146A12,1469DC
12F35B,12F09A,12EF17
146ABB,1468CA,1469CF
12F03C,12EF1E,12F142
1469B2,146C28,146CC0
12F0D7,12EFEF,12F126
146B16,146BEE,1469EB
12F087,12F0FE,12F102
146BC3,146A5C,146B05
12EFF9,12EFD3,12F18D
146A93,1468C4,1469B2
12F0A8,12F248,12F0C1
146B07,1469A4,146A65
12F227,12EFE8,12F1DD
146C2B,146A16,146876
12EFE5,12F1B7,12EF5F
146AE4,146B4A,146C43
12F223,12EFCC,12F1DA
146C81,146BEA,146AE6
12F146,12F0E0,12F1A1
1469D5,1468C4,146C1F
12F05E,12F173,12EF5B
146941,146A68,146A8F
12EEE3,12F0F1,12F04B
146C05,146CEF,146C93
12F04F,12F15D,12F082
146CB9,146A6D,146C39
12F03D,12EEA3,12F145
146C71,146BF0,146B22
12F177,12F187,12F182
146A9D,146B44,146CB8
12F116,12F0E0,12F165
146D15,146BC2,146CB3
12F1E2,12F062,12F093
