{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
EAA0E,EAB50,EAAAB
D3176,D31C7,D30D9
EA9B6,EAA93,EAB38
D2FC4,D2FC1,D2FA9
EA9D3,EAB96,EAC16
D3290,D31F7,D2EDE
EA95B,EAA6D,EA909
D30BE,D312C,D305B
EAA74,EAB19,EACB8
D30B4,D2FC1,D3035
EABB1,EAB32,EAA0F
D30D2,D308C,D30E5
EAB69,EA9B5,EAAD0
D2FB1,D3102,D2EFD
EA91A,EA994,EA881
D311F,D2F7E,D3168
EAA32,EAA95,EA95A
D309B,D319F,D30FA
EA9AF,EAC2A,EA9ED
D301F,D30F7,D2EA9
EAB76,EA9CF,EA8AB
D302A,D2F31,D2DA3
EA7F1,EA9D0,EA828
D2D65,D2F6F,D2E78
EA877,EA996,EAA6D
D2DE5,D2DE0,D2E63
EA743,EA8D7,EA915
D2EF6,D2D2F,D2F28
EA7DD,EA817,EA8D4
D2B64,D2B64,D2BD5
EA6CD,EA7D7,EA4E3
D2EA9,D2CC1,D2C88
EA4DD,EA79E,EA6FE
D2C4D,D2A41,D2C4D
EA696,EA5BC,EA58C
D2B15,D2D10,D2B41
EA791,EA6CF,EA5A1
D2B13,D2D40,D2DFD
EA54A,EA522,EA80F
D2AF4,D2ACF,D2AF5
EA592,EA60E,EA61B
D2AE2,D2C30,D2CCF
EA600,EA592,EA470
D2B1B,D296D,D2BBC
EA701,EA6C0,EA5FC
D2C6B,D2BBE,D2D6C
EA56A,EA4E0,EA667
D2A75,D2B07,D2C09
EA458,EA627,EA4CB
D29D9,D2BAE,D2B38
EA562,EA430,EA5A4
D2B8C,D2BE7,D2A93
EA5FF,EA4F1,EA504
D2B15,D2955,D2A59
EA3D6,EA42A,EA33F
D2D02,D2A5E,D2B18
EA36F,EA504,EA4FF
D2C1D,D29B1,D2AA0
EA46F,EA56F,EA31D
D28A9,D2857,D2A20
EA3CA,EA5A2,EA3ED
D2D3B,D2B67,D2B67
EA581,EA541,EA4FB
D2B8B,D2ABB,D2B54
EA675,EA58A,EA4E0
D2BE6,D2BA4,D2BF9
EA502,EA424,EA51D
D2ABD,D2B32,D29DA
EA6D2,EA7B8,EA61F
D2CAC,D2B96,D2ADE
EA6A1,EA3B7,EA5F3
D2AF4,D2AC3,D2AA6
EA4A8,EA672,EA595
D2A50,D2A6C,D2C58
EA4EC,EA580,EA664
D2B65,D2C0F,D2AFA
EA648,EA6EE,EA621
D2CD5,D2C11,D2AE5
EA50D,EA465,EA6B4
D2B1F,D29F2,D2945
EA48C,EA611,EA50D
D2A29,D28C1,D2994
EA5A1,EA4CD,EA3A9
D29ED,D2AC3,D2AAB
EA4D2,EA512,EA4B8
D2C4A,D29A2,D2A33
EA378,EA3ED,EA5C8
D2AF4,D2A1F,D29CD
EA2A3,EA511,EA42C
D2992,D2A3F,D2BB7
EA381,EA512,EA587
D2ACD,D2996,D2AB2
EA189,E9FDE,EA163
D312D,D2FD1,D2E48
EA96C,EA90F,EA88D
D2E1E,D2ECE,D2F64
EAA6A,EA96F,EAA07
D2F0F,D303D,D2EF6
EA9B1,EAB04,EA9DE
D2E88,D30E8,D2F5C
EA930,EA96C,EA933
D2DE4,D2F74,D2F1D
EA6DF,EA8C1,EA827
D2EB5,D2ED9,D2F0B
EA8EB,EA7F5,EA829
D2D79,D2D3B,D2C4F
EA7C2,EAB21,EA8DE
D2D17,D2BC0,D2D2A
EA7BE,EA8A1,EA86B
D2DFA,D2E93,D2E2B
EA9B7,EA8DC,EAAD6
D3015,D2F24,D2E2C
EA918,EAA99,EA9C8
D2E94,D2E1D,D2EEC
EA8AE,EA80A,EA90D
D2F0D,D2C71,D2F66
EA840,EA937,EA70A
D302D,D2F28,D2F0D
EA801,EA74A,EA702
D2CEE,D2EC2,D30AB
EA97D,EA904,EA946
D2FAC,D2E0C,D2D93
EA8B3,EA916,EA8ED
D2DAD,D2E77,D2DE0
EA731,EA714,EA93C
D2FD8,D3086,D2FB9
EAD19,EAB4F,EAB4F
D305D,D2F77,D3159
EAA6E,EA96D,EAA05
D308B,D2ED5,D2E34
EA8A7,EA8A7,EA7ED
D2CBF,D2CC0,D2DCC
EA961,EA9ED,EAA02
D2D38,D2CF4,D2E64
EA908,EA920,EA9A7
D2EC1,D2E12,D2BD6
EA67D,EA8A1,EA727
D2DCD,D2C3D,D2DE3
EA946,EA6BA,EA704
D2F51,D2ED9,D2E45
EAA48,EA79B,EA8A3
D2E5C,D2DAA,D2C91
EA5DA,EA6D4,EA6DE
D2CDA,D2CF1,D2D59
EA6A1,EA8CA,EA825
D2C87,D2C9D,D2D3D
EA5C9,EA7D0,EA5AF
D2D88,D2C67,D2DB5
EA6E8,EA6BA,EA5F7
D2C38,D2C1C,D2A90
EA6A3,EA4D6,EA805
D2C60,D2BB2,D2CCC
EA40F,EA5E9,EA640
D2C3B,D2AA6,D2C56
EA747,EA64E,EA541
D2AD4,D2ABE,D2A1A
EA966,EA5D8,EA758
D2973,D2930,D2956
EA35B,EA65E,EA63B
D2B79,D28F4,D28AC
EA4E6,EA64E,EA503
D29B1,D2A71,D294E
EA296,EA38B,EA1EF
D28CF,D29CE,D28FE
EA10E,EA119,EA330
D29AA,D27B8,D297E
EA3D0,EA2AF,EA113
D2905,D2A93,D29DC
EA2B2,EA3EA,EA50F
D2A74,D2A73,D28EE
EA387,EA4AE,EA407
D283D,D2831,D2AEC
EA284,EA341,EA1E5
D27B3,D2928,D27C9
EA0AE,EA0E7,EA06E
D2701,D27C4,D284C
EA30D,EA1FC,EA024
D2871,D2825,D2693
EA0D8,EA322,EA31E
D27C6,D2895,D27FF
EA166,EA112,EA280
D2937,D28F0,D2793
EA1BD,EA24F,EA2D5
D2840,D2980,D268D
EA4CF,EA2FC,EA378
D28D1,D285F,D28AF
EA204,EA38F,EA207
D267B,D2736,D27D3
EA2CF,EA0CA,EA396
D28F0,D2AF2,D2A8F
EA49E,EA362,EA4F2
D279B,D2B32,D2843
EA453,EA3C7,EA3CC
D2951,D2645,D2857
EA3E1,EA24F,EA259
D2935,D2A3A,D2995
EA2A3,EA519,EA2C4
D2820,D28F7,D28A1
EA23D,EA41C,EA3CB
D2902,D2835,D27CE
EA3EE,EA3B4,EA356
D27E4,D274C,D2722
EA211,EA301,EA266
D28C0,D299B,D2834
EA46A,EA3D9,EA42E
D29E2,D2832,D2A94
EA1D1,EA28F,EA381
D290A,D2839,D2A71
EA066,EA48B,EA37E
D2879,D27AA,D2711
EA34D,EA2F6,EA497
D2733,D2644,D286B
EA391,EA2A2,EA2F4
D29FA,D275D,D27F5
EA04A,EA300,EA247
D264B,D2892,D2872
EA1C6,EA066,EA107
D2636,D27BB,D273B
E9F91,EA12E,EA0A3
D24CC,D2575,D27DD
E953A,E9645,E95B5
D2C03,D2A68,D2C11
EA3B1,EA501,EA4C8
D2AC9,D2BAE,D298E
EA359,EA332,EA66F
D2A31,D2A21,D2A7D
EA56E,EA511,EA6EE
D28FA,D2C27,D2BDC
EA4C0,EA4B1,EA55A
D29ED,D29A5,D2A81
EA4AE,EA4C8,EA5E0
D2AFE,D2BDA,D29BF
EA53B,EA37E,EA41F
D29BD,D2C39,D2908
EA3E3,EA397,EA39E
D2AE4,D2BF6,D2B32
EA45B,EA746,EA638
D2931,D2AC3,D2AA6
EA5C7,EA6FA,EA476
D2A83,D2AEF,D29AB
EA401,EA484,EA401
D298B,D29E8,D292B
EA46A,EA39D,EA59F
D2A33,D28CF,D2934
EA44C,EA47D,EA650
D2A36,D2940,D2A71
EA30C,EA32A,EA43A
D28FC,D28DF,D2732
EA077,EA299,EA35C
D2A0A,D290C,D2A6D
EA301,EA491,EA2EA
D2879,D280D,D277C
EA2CA,EA45D,EA327
D2B5A,D29B1,D2B75
EA345,EA40D,EA393
D2A1F,D2832,D2A00
EA53D,EA377,EA4A8
D284D,D2A54,D2B1D
EA3E1,EA52C,EA669
D2C18,D2AB0,D29B0
EA601,EA4E1,EA445
D29AA,D295C,D2947
EA60E,EA3E4,EA5A8
D2A3E,D2A8F,D2809
EA4D1,EA359,EA44F
D297B,D272C,D28A5
EA43D,EA2D3,EA1DA
D2818,D2989,D2926
EA45A,EA333,EA3AC
D288B,D289B,D285F
EA1E2,EA36B,EA552
D2898,D2773,D28C2
EA37B,EA416,EA33B
D28A9,D299F,D288F
EA0C4,EA225,EA42D
D27B7,D28E5,D2824
EA2F4,EA4DF,EA34F
D28DD,D29CA,D2A2C
EA195,EA3CD,EA321
D27CF,D2753,D278E
EA2E7,EA3CE,EA223
D2A2F,D2729,D295F
EA418,EA2F1,EA3D1
D2911,D2845,D27DD
EA343,EA187,EA177
D2811,D260D,D2511
EA005,E9FF4,EA023
D255F,D2553,D24B8
E9F8F,E9F90,EA063
D2529,D25AE,D276E
EA155,E9FBD,EA103
D248E,D251F,D25B7
E9F70,EA08A,EA260
D24EE,D2464,D25F3
E9FAE,E9FE3,EA0B7
D26B0,D2509,D246E
E9FF2,E9E0B,EA105
D23EE,D2326,D23E7
E9EAD,E9D82,E9DA4
D24B3,D2558,D239D
E9EBF,E9E15,E9DD5
D2653,D238A,D23C3
E9E76,E9F82,E9E3E
D262A,D2668,D2673
E9ED5,E9E31,E9FD9
D257F,D254C,D252F
E9FD1,EA03F,EA040
D25A3,D232C,D2383
E9F0E,EA015,E9F4B
D2741,D25D7,D2631
EA006,E9DB1,E9E6C
D24D1,D2292,D25EE
E9F8B,E9FE1,E9FCE
D249B,D2524,D2779
E9DE4,EA05D,E9E65
D235B,D2455,D2267
E9F2D,EA03D,EA087
D277C,D2691,D24FA
EA078,EA186,EA07A
D2653,D2514,D2696
EA0F2,EA187,EA3B1
D2736,D265A,D26B2
EA084,EA13A,EA1CF
D2776,D25D5,D272B
EA1CC,EA12A,EA17E
D2690,D269C,D266E
E9FF6,E9CD6,E9E80
